model,var_num,train_subset_size,test_auc_score,test_f1_score,test_pr_auc,test_pr_no_skill,test_efron_r2,test_ffc_r2,test_briern_r2,test_imv_r2
sl,1,17075,0.6653111959700666,0.056019656019656014,0.3523667909241376,0.22733661278988054,0.05018535817012104,0.07747893090824742,0.16683938438179635,0.02745689266403896
sl,2,17075,0.7021201638263594,0.12995245641838352,0.4028097186001753,0.22733661278988054,0.08884647995909822,0.11502909894560409,0.16004837751086004,0.04344435702917206
sl,3,17075,0.7035015232986875,0.2781065088757397,0.4076440599975583,0.22733661278988054,0.09392821853097943,0.11996481028728745,0.15915574636201982,0.04488393828751737
sl,4,17075,0.7238651344728612,0.18978723404255318,0.44233008228662185,0.22733661278988054,0.11817686717981613,0.14351665744817987,0.15489635780925098,0.053982843452951325
sl,5,17075,0.7349034172949673,0.314900947459087,0.4841044058110673,0.22733661278988054,0.14305419731812785,0.16767912050637146,0.1505265384123396,0.06333498961162294
sl,6,17075,0.7621873461755718,0.34822104466313397,0.548721045875411,0.22733661278988054,0.19231951815761494,0.21552876868870807,0.14187285437942504,0.08333682077782394
sl,7,17075,0.7652981285812318,0.3000614880098381,0.560326458021726,0.22733661278988054,0.20252828969660308,0.22544418420190415,0.14007963590936878,0.08660947922774535
sl,8,17075,0.7631613869573831,0.35940298507462687,0.5526882988225493,0.22733661278988054,0.19596490515894893,0.21906940300367805,0.14123252510216286,0.08393499328740739
sl,9,17075,0.7589669464763034,0.36608294930875573,0.5563078875403613,0.22733661278988054,0.20015579172621067,0.22313986158181076,0.1404963762746939,0.08669341178429443
sl,10,17075,0.7685360022279186,0.4032821229050279,0.5636990236598742,0.22733661278988054,0.2062612923354764,0.22906991645920127,0.1394239165355704,0.08966832401669733
sl,11,17075,0.766848389862627,0.3719874257771568,0.5639166422089653,0.22733661278988054,0.20637377292558368,0.2291791648426943,0.13940415879381537,0.08852132951957029
sl,12,17075,0.8436853195491026,0.5449455676516329,0.6806202536961883,0.22733661278988054,0.32863444681584275,0.34792659472841014,0.11792849957818513,0.13144840537361685
sl,13,17075,0.8434642692332712,0.5262310910846476,0.6789523410967451,0.22733661278988054,0.32691356460146037,0.3462551632403311,0.11823078058818093,0.1317216199490378
sl,14,17075,0.8470449153468272,0.4895674300254452,0.6839847658717488,0.22733661278988054,0.33085959418454913,0.35008780096704106,0.11753764203524547,0.13282781421476486
sl,15,17075,0.845776531289846,0.49068216789194735,0.6866704474800515,0.22733661278988054,0.33318158078459015,0.35234306369552437,0.11712977422837814,0.1334449279701697
sl,16,17075,0.8327215304100962,0.4785109983079526,0.6405575304348807,0.22733661278988054,0.2962409961934316,0.3164639920439697,0.1236185606930918,0.11988513001465237
sl,17,17075,0.8285057014268971,0.4786746563271061,0.6359226313389829,0.22733661278988054,0.2920810688052694,0.31242360301177063,0.1243492713959473,0.11812332162619882
sl,18,17075,0.8346233889899058,0.520411443265831,0.6455473645920633,0.22733661278988054,0.30255183858864754,0.3225934880707817,0.1225100317088261,0.12126451365604905
sl,19,17075,0.8317711917200901,0.42189835575485796,0.6404975509983517,0.22733661278988054,0.29758781485461105,0.31777210895064356,0.12338198569581423,0.1191041577160346
sl,20,17075,0.8337460796857298,0.4939326610835755,0.6473730955934409,0.22733661278988054,0.30234506383693116,0.32239265513284443,0.12254635266110749,0.12160249068920255
sl,21,17075,0.8325895874641159,0.5037037037037038,0.6418637343207176,0.22733661278988054,0.2982252778797537,0.3183912540401824,0.12327001233385798,0.11992424675268389
sl,22,17075,0.8362260721135557,0.5323241879533269,0.6413843420502752,0.22733661278988054,0.30248896491721244,0.32253242111725666,0.12252107576329113,0.12127762691233462
sl,23,17075,0.8377204850970852,0.5370702297539514,0.6567008755300947,0.22733661278988054,0.3116726823997602,0.3314522382027403,0.12090791283270846,0.1244326201318811
sl,24,17075,0.8414682368150574,0.5045492142266335,0.6611686012269075,0.22733661278988054,0.3142864253072122,0.3339908734217849,0.12044879666581988,0.12611170647985712
sl,25,17075,0.8428209351088269,0.5262985417008029,0.6612916167607222,0.22733661278988054,0.31499932469457304,0.3346832871581281,0.1203235725540034,0.1269866681820393
sl,26,17075,0.8397042662281428,0.5482106579152992,0.6584147160490945,0.22733661278988054,0.31146384650471814,0.331249403349839,0.12094459583445553,0.12492595737582342
sl,1,19920,0.6631153455464316,0.011193080641058254,0.35036808337808534,0.22733661278988054,0.05086953626186452,0.062409965875617646,0.16671920529989245,0.02793814323327799
sl,2,19920,0.712554541168503,0.07525601333650868,0.4270545375358611,0.22733661278988054,0.10786583700635188,0.118713251463479,0.1567075384867447,0.05050736657002046
sl,3,19920,0.7164692032512554,0.37765466297322253,0.4245847902598089,0.22733661278988054,0.10775274526062206,0.11860153479460245,0.1567274035808434,0.05131700684596165
sl,4,19920,0.7374102258867921,0.1407942238267148,0.46965262111726236,0.22733661278988054,0.14049559293387814,0.15094626382836318,0.15097596923972967,0.06285438280337272
sl,5,19920,0.7452802184684668,0.42805755395683454,0.5041910575345321,0.22733661278988054,0.1618693961877985,0.17206018408257606,0.1472215607270207,0.06900750297496887
sl,6,19920,0.7764609059572065,0.21679982725113364,0.5796481829327278,0.22733661278988054,0.22215360574462584,0.23161140096474897,0.13663235735253143,0.0939674605526715
sl,7,19920,0.775444176028993,0.38844013642075026,0.580706991499925,0.22733661278988054,0.22333911794930494,0.23278249858610467,0.13642411658881284,0.09435835292783612
sl,8,19920,0.7747756364675464,0.2298568507157464,0.5834452974098606,0.22733661278988054,0.2231350959560554,0.23258095728601869,0.1364599540061941,0.09403838966125191
sl,9,19920,0.7882836909225361,0.36257081461222895,0.5977218922111214,0.22733661278988054,0.2411242736011049,0.25035140542405787,0.1333000708125084,0.10325395541851293
sl,10,19920,0.7808247168224796,0.43852391196425616,0.5885909128323344,0.22733661278988054,0.23001527655198206,0.2393774821118161,0.13525141810402216,0.09862784239007569
sl,11,19920,0.7843796596379616,0.3373395803625993,0.5954004236064292,0.22733661278988054,0.2357458284852857,0.24503835655212913,0.13424481985356948,0.10031346833134554
sl,12,19920,0.8541682041787999,0.5143048352016061,0.7006331764437849,0.22733661278988054,0.3493749985929798,0.35728591529047327,0.11428532464926454,0.1397620284836501
sl,13,19920,0.8554277438802722,0.5349753694581281,0.7027193018543536,0.22733661278988054,0.3529760816342584,0.36084321294401134,0.11365277756980789,0.14031989664992803
sl,14,19920,0.8574075128368108,0.4812891674127127,0.7071806145236119,0.22733661278988054,0.35682986592300414,0.3646501392632471,0.11297584233428037,0.14227781991013277
sl,15,19920,0.8605805376384141,0.5454840805717998,0.7091958948072637,0.22733661278988054,0.3598615847450135,0.36764499556844676,0.11244330674301148,0.14316385422751304
sl,16,19920,0.8411804926395828,0.5267137925365774,0.6649981531191083,0.22733661278988054,0.31826354369859366,0.3265527430127636,0.1197501972182969,0.1271510466762349
sl,17,19920,0.842020804032745,0.5483770287141073,0.6672491181614904,0.22733661278988054,0.32085255113696476,0.32911027083979194,0.11929542595224699,0.12786842092025572
sl,18,19920,0.8444300025685726,0.5270400000000001,0.6706107507907595,0.22733661278988054,0.3233903264519924,0.33161718947229013,0.11884965384828906,0.12907060298654127
sl,19,19920,0.8431052430667086,0.5326797385620915,0.6713164497758375,0.22733661278988054,0.3248959867449204,0.3331045425173774,0.11858517757544887,0.12896707818651865
sl,20,19920,0.8414692520611644,0.5084745762711865,0.6651790597234313,0.22733661278988054,0.31933222485092805,0.3276084301246691,0.11956247837537362,0.1267410912276376
sl,21,19920,0.8455123232524863,0.5270674194619728,0.6715301253135961,0.22733661278988054,0.32712712675965994,0.33530855421279493,0.11819326739620423,0.1302646754354261
sl,22,19920,0.844229589082262,0.5422693667630987,0.6721587143818808,0.22733661278988054,0.3255011473796532,0.3337023450343626,0.11847887827945527,0.12972082404318952
sl,23,19920,0.8460143331664425,0.5238571905238572,0.6827220439058825,0.22733661278988054,0.33358262117124937,0.34168555659222954,0.11705932960868523,0.13189200082477834
sl,24,19920,0.8471742713676311,0.5353835978835979,0.6794991841854336,0.22733661278988054,0.331265416514537,0.33939652671049614,0.11746635744484041,0.1320678259518683
sl,25,19920,0.850505684323905,0.5282375021327418,0.6845866435746608,0.22733661278988054,0.33636965344310565,0.3444387014787438,0.11656977435441701,0.133885641470219
sl,26,19920,0.8519053963220133,0.5350361283817846,0.6892812478964226,0.22733661278988054,0.3416662745421506,0.34967092122800636,0.11563939808461578,0.13561904140258202
sl,1,22766,0.6850666356782316,0.0061506919528446944,0.37865873458358035,0.22733661278988054,0.07449659379941587,0.07652000939551684,0.16256900213317355,0.038753525098745745
sl,2,22766,0.7166618950099638,0.360452157299793,0.44390252232539723,0.22733661278988054,0.11910129401226799,0.1210271909547741,0.15473397791233223,0.054100538177069064
sl,3,22766,0.7253631691516378,0.19137749737118823,0.452633451627163,0.22733661278988054,0.12885201870489527,0.13075659776971005,0.15302121751325037,0.05804138921612924
sl,4,22766,0.7461538279815416,0.3788517677586766,0.479885441486112,0.22733661278988054,0.15037697947859974,0.15223449881241502,0.14924025747518602,0.06695867650255402
sl,5,22766,0.7562005277405455,0.3054150271688214,0.5316922337766852,0.22733661278988054,0.18371391050890762,0.1854985457606968,0.1433844696137149,0.07757103624796127
sl,6,22766,0.7931172288279601,0.3946986201888163,0.6043870075829679,0.22733661278988054,0.24792243396682145,0.24956669099104611,0.13210594214740407,0.10418023628443204
sl,7,22766,0.7932734791086171,0.3953316042978881,0.6132449797101654,0.22733661278988054,0.25447380598165226,0.2561037398297311,0.1309551630104298,0.10579437544611203
sl,8,22766,0.7844384951022576,0.29692113032475753,0.6006894539700162,0.22733661278988054,0.24145984862992487,0.24311823471718075,0.13324112548911946,0.10039418632569425
sl,9,22766,0.800387913823099,0.18421052631578946,0.6164145724066988,0.22733661278988054,0.2613031040057062,0.262918107051759,0.1297555648699991,0.11125142229189666
sl,10,22766,0.7955500708837022,0.39276485788113696,0.6175917860316184,0.22733661278988054,0.2590280506039473,0.260648027568523,0.13015518864106868,0.10924346994785832
sl,11,22766,0.800455437451195,0.3240759240759241,0.6161828781405823,0.22733661278988054,0.2589179355662633,0.26053815327385865,0.1301745308624762,0.11075399514676049
sl,12,22766,0.868155991705283,0.5619166148102054,0.7226583196870985,0.22733661278988054,0.3772090893522114,0.378570688708056,0.10939613641970573,0.14925957834407055
sl,13,22766,0.8675649037074211,0.5396877567789646,0.7261559167248857,0.22733661278988054,0.379050555180801,0.38040812856477735,0.1090726743338717,0.1494987301507319
sl,14,22766,0.8685247993776073,0.53955174686882,0.7277894860567019,0.22733661278988054,0.38048296904882495,0.38183741076570943,0.10882106413815958,0.15040713246752568
sl,15,22766,0.866520137367484,0.5531845577455611,0.7251519033417302,0.22733661278988054,0.37769457665303663,0.3790551145945529,0.10931085830455813,0.14890077965518025
sl,16,22766,0.850257046647513,0.5451880801172447,0.6819655663080736,0.22733661278988054,0.3401084053433632,0.3415511174235333,0.11591304509596562,0.13402192373084898
sl,17,22766,0.8510441064299674,0.5274503199730549,0.6922263715518122,0.22733661278988054,0.3458625438220385,0.34729267570697453,0.11490230375849762,0.1357026491819346
sl,18,22766,0.8517186398482379,0.585544889892716,0.6902540954568939,0.22733661278988054,0.34489135467977594,0.3463236098624156,0.11507289767385485,0.13569528349227153
sl,19,22766,0.8499433844103651,0.5678205318674788,0.6855986384010799,0.22733661278988054,0.33858077416351007,0.34002682608309476,0.11618138065785809,0.13411438792170027
sl,20,22766,0.8524180956060382,0.5662072169738268,0.6905041299412273,0.22733661278988054,0.3455208611190671,0.3469517400202815,0.11496232192341856,0.13590899689311967
