model,var_num,train_subset_size,test_auc_score,test_f1_score,test_pr_auc,test_pr_no_skill,test_efron_r2,test_ffc_r2,test_briern_r2,test_imv_r2
sl,1,45533,0.6110803608684479,0.056804149172635224,0.3294579489612525,0.22398970883534136,0.03450757661041337,0.2001627908141893,0.03450757661041337,0.016319380921083433
sl,2,45533,0.6295938422043585,0.11384758364312268,0.3576930849677431,0.22398970883534136,0.04972544514946342,0.21276964013497246,0.04972544514946342,0.024556375601992895
sl,3,45533,0.6297228956037266,0.15068493150684933,0.3642339763452511,0.22398970883534136,0.05489788952601893,0.21705461780500823,0.05489788952601893,0.026776033673844252
sl,4,45533,0.6337511578686611,0.17220543806646527,0.3635079154835374,0.22398970883534136,0.054708411602819695,0.21689764972362036,0.054708411602819695,0.026286437166349833
sl,5,45533,0.6259879613678552,0.09775306926106092,0.3443592721498667,0.22398970883534136,0.041216674954383414,0.20572076969169817,0.041216674954383414,0.01975772635873178
sl,6,45533,0.6580420924159789,0.020785804816223063,0.3624302086085071,0.22398970883534136,0.05914973216153574,0.22057694678978657,0.05914973216153574,0.029144564994965674
sl,7,45533,0.6672014768394638,0.04508298241268269,0.3772284998675993,0.22398970883534136,0.06598341865182444,0.2262381374925102,0.06598341865182444,0.03148583385875665
sl,8,45533,0.6898951461630296,0.014293006636038795,0.4154436822040391,0.22398970883534136,0.09044686430902793,0.24650424588187758,0.09044686430902793,0.04158489354745485
sl,9,45533,0.6883916057265191,0.012254276231810059,0.415548484490891,0.22398970883534136,0.08960088859626192,0.24580341919826443,0.08960088859626192,0.041350996611502426
sl,10,45533,0.7013020609417877,0.019766852508869743,0.43736990871484555,0.22398970883534136,0.10541705364170573,0.25890591177459976,0.10541705364170573,0.04785366975180748
sl,11,45533,0.7156933990338137,0.13074613074613073,0.4603269473365895,0.22398970883534136,0.1211155752586528,0.2719109456974558,0.1211155752586528,0.05367375825335412
sl,12,45533,0.8644842174916438,0.4211502782931355,0.6892292234439704,0.22398970883534136,0.3613275034010207,0.47090830037789466,0.3613275034010207,0.14142057560443308
sl,13,45533,0.8745242595790618,0.43734469293574724,0.7064833223828484,0.22398970883534136,0.3800390289076413,0.4864093793902833,0.3800390289076413,0.14821126325782724
sl,14,45533,0.8710090968394062,0.42694532562045157,0.6981118456697322,0.22398970883534136,0.37589749850758025,0.48297843572185595,0.37589749850758025,0.14613851292872754
sl,15,45533,0.8698802017403349,0.5410294359480348,0.7092487695247134,0.22398970883534136,0.38500333606197024,0.4905219311655936,0.38500333606197024,0.14583048187854444
sl,16,45533,0.8840384041830639,0.5310506881503861,0.7235934300983803,0.22398970883534136,0.40633572447313504,0.5081941962178165,0.40633572447313504,0.1561635373092532
sl,17,45533,0.8978991395164476,0.6001298279779294,0.775517653491361,0.22398970883534136,0.46103818574958033,0.5535110344477236,0.46103818574958033,0.17040196199977956
sl,18,45533,0.89980850506026,0.5858519849697761,0.7756894677996161,0.22398970883534136,0.46270807539229697,0.5548944113019818,0.46270807539229697,0.171477339118597
sl,19,45533,0.9078452713389699,0.6469445689526371,0.7976038651888503,0.22398970883534136,0.48788078198150275,0.5757480885533043,0.48788078198150275,0.1793687782444593
sl,20,45533,0.910829548222511,0.6732084448409158,0.8121952970589761,0.22398970883534136,0.5009047782749203,0.5865374811942138,0.5009047782749203,0.18313619545884108
sl,21,45533,0.9135808944583728,0.6599161001012586,0.82196707154361,0.22398970883534136,0.5123057236287775,0.5959822992922108,0.5123057236287775,0.18677544469777832
sl,22,45533,0.9156200260262244,0.6654914059056852,0.8232990848653975,0.22398970883534136,0.5140284251342861,0.5974094267673171,0.5140284251342861,0.18804274754283604
sl,23,45533,0.9183103696378312,0.6815531218887783,0.8281986918258353,0.22398970883534136,0.5214066775063358,0.6035217489802772,0.5214066775063358,0.1902679811352972
sl,24,45533,0.9184552862576209,0.6871952069109655,0.8273465528676202,0.22398970883534136,0.5193097772962056,0.6017846262733755,0.5193097772962056,0.18999788110614066
sl,25,45533,0.9176093519629432,0.6792064658339456,0.8298194144059385,0.22398970883534136,0.523667492395222,0.6053946625603384,0.523667492395222,0.19091011646942627
sl,26,45533,0.9198851530175027,0.6998417949086725,0.833031420203963,0.22398970883534136,0.5286501656888929,0.6095224292884323,0.5286501656888929,0.19273900910349157
sl,1,48379,0.6154620752083383,0.01985237974039196,0.3408296826230772,0.22466335931963147,0.04087551851448967,0.2454093336922406,0.04087551851448967,0.019176096554800317
sl,2,48379,0.6283723937558616,0.1303857432889691,0.36008380113404403,0.22466335931963147,0.0519845037616683,0.25414932181837857,0.0519845037616683,0.025402191742350193
sl,3,48379,0.630436896714406,0.2286348501664817,0.36307794069893307,0.22466335931963147,0.0537084494338278,0.2555056351421907,0.0537084494338278,0.02662277065090298
sl,4,48379,0.6383626399741285,0.22436849925705796,0.3687962773726944,0.22466335931963147,0.05674618168479195,0.257895569345277,0.05674618168479195,0.02740779409136008
sl,5,48379,0.6238115080020528,0.08738781294284365,0.3448741022071252,0.22466335931963147,0.042418776148113846,0.2466234907996031,0.042418776148113846,0.020564707751814553
sl,6,48379,0.6659543934267657,0.02583586626139818,0.37638740141995697,0.22466335931963147,0.06724080247886444,0.2661522065706986,0.06724080247886444,0.03232213574123984
sl,7,48379,0.6706050894131151,0.0837696335078534,0.38705958680140096,0.22466335931963147,0.07132640247999567,0.26936655015866084,0.07132640247999567,0.033734137063220745
sl,8,48379,0.6805427185494913,0.10973616623861779,0.4098439197680146,0.22466335931963147,0.08429361323578055,0.27956849619720403,0.08429361323578055,0.038909022290013896
sl,9,48379,0.6922226271492271,0.017766497461928935,0.4238103236460205,0.22466335931963147,0.09453704738605129,0.2876275124666675,0.09453704738605129,0.04308078126273577
sl,10,48379,0.7164356708437796,0.11227402473834443,0.46289355539685234,0.22466335931963147,0.1227439127967005,0.30981924855050624,0.1227439127967005,0.05483908153651564
sl,11,48379,0.7198320009790096,0.17901498929336188,0.46459572131670235,0.22466335931963147,0.1268673637346479,0.31306337134250706,0.1268673637346479,0.05623001389774398
sl,12,48379,0.8758757766730338,0.5561772266747315,0.7066407945551875,0.22466335931963147,0.3854825229551957,0.5165287077827474,0.3854825229551957,0.14962036083795688
sl,13,48379,0.8756549020728749,0.5050740309432707,0.7117404946353495,0.22466335931963147,0.3894134345143532,0.5196213503227723,0.3894134345143532,0.1486111316163778
sl,14,48379,0.8788493934724517,0.5490196078431372,0.7206596120303482,0.22466335931963147,0.3961955263457738,0.5249571573976848,0.3961955263457738,0.15185896519302874
sl,15,48379,0.887843009683027,0.5611300535801267,0.728629555524692,0.22466335931963147,0.4158299822484416,0.540404554944286,0.4158299822484416,0.15818597755725763
sl,16,48379,0.8769498972922372,0.5885321744006728,0.7296684756996812,0.22466335931963147,0.40740342263451335,0.5337749637321966,0.40740342263451335,0.15179661121482735
sl,17,48379,0.905470083547726,0.6471652593486127,0.7910488585143279,0.22466335931963147,0.48252124369080607,0.5928738687613571,0.48252124369080607,0.17695323649031422
sl,18,48379,0.9088116977749788,0.654556108995019,0.799937517306881,0.22466335931963147,0.4914941926555735,0.5999333314992724,0.4914941926555735,0.17966352626631318
sl,19,48379,0.9116734227390293,0.5774378585086042,0.8102393658870438,0.22466335931963147,0.5034222337312131,0.6093177113548179,0.5034222337312131,0.1833630581038227
