model,var_num,train_subset_size,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,12,11952,0.6572314379235188,0.8134949851137587,0.612235294117647,0.4747274529236869,0.5886999310122265,0.22180388219544847,0.4223134861770028,0.24984637430645362,0.4223134861770028,0.2714025513182028,0.13176799302794942,0.10538905566110783
lgb,13,11952,0.661269794077632,0.8141240179348691,0.6203791469194313,0.4826337448559671,0.5912024057908944,0.22180388219544847,0.4361932596213631,0.2519953230710984,0.4361932596213631,0.27348974857172614,0.131390520126215,0.10584234565737924
lgb,14,11952,0.6605802272073931,0.8159879414534124,0.6294034758102396,0.48125,0.5933894303528058,0.22180388219544847,0.44876881866948903,0.25490457362309005,0.44876881866948903,0.2763153998212252,0.13087949665939247,0.10697146278739614
lgb,15,11952,0.6611033327640146,0.8159769592238897,0.6394749179559306,0.48240541880059473,0.5958130739693316,0.22180388219544847,0.4472215550615035,0.25588841533620077,0.4472215550615035,0.2772709701704539,0.13070668026078625,0.1071770066854688
lgb,16,11952,0.664307508049535,0.8193262951787446,0.6439499304589708,0.48827361563517924,0.5983326251714182,0.22180388219544847,0.4619082607004181,0.2596966127580387,0.4619082607004181,0.2809697364372469,0.1300377525716534,0.10905009728745418
lgb,17,11952,0.6625803401339984,0.8217884036559169,0.6539082314964261,0.4850868567682727,0.6039490436691697,0.22180388219544847,0.46752969411465406,0.2643961890167028,0.46752969411465406,0.28553426716091357,0.12921225002060804,0.11076186761379872
lgb,18,11952,0.6639894626825599,0.8227357454175109,0.6642032332563511,0.48774910160078405,0.6011427332017654,0.22180388219544847,0.47144007165169166,0.264876657194802,0.47144007165169166,0.28600092875761296,0.12912785353784303,0.11110506190494121
lgb,19,11952,0.6699977086676325,0.8231952419007376,0.6695731987150069,0.499269124573656,0.6045013276561839,0.22180388219544847,0.47432278463151756,0.26731436865862745,0.47432278463151756,0.2883685909168453,0.12869965811737497,0.11160711245464777
lgb,20,11952,0.6652551426705829,0.8234566287253577,0.6643389199255121,0.49039881831610044,0.6016860619133627,0.22180388219544847,0.48047474030551884,0.2660422359748049,0.48047474030551884,0.2871330138349364,0.12892311417340294,0.11136644591881452
lgb,21,11952,0.6697631282450293,0.8242211285678774,0.6742039686202123,0.4990208877284595,0.6044526235396124,0.22180388219544847,0.48163790933816897,0.26863008254205534,0.48163790933816897,0.28964649686280997,0.12846854681979505,0.11199033756249985
