,model,seed,roc_auc,pr_auc,f1,efron_r2,ffc_r2,imv,brier
0,LGBMClassifier(),0,0.8335598938008576,0.7232516509624943,0.6203208556149732,0.3123749219998515,0.6043666601842076,0.21250616930971777,0.1486621592360766
1,LGBMClassifier(),1,0.823644347633656,0.714633495472119,0.6054347826086955,0.29345253631066903,0.6020906342823545,0.19588576650925807,0.15163026744534375
2,LGBMClassifier(),2,0.830513197023077,0.7097645294021329,0.5946547884187082,0.29199216062807676,0.6171314941715593,0.1911755279857814,0.14978551168214854
3,LGBMClassifier(),3,0.8205915993594821,0.7169314962431154,0.6058951965065502,0.2776952093532098,0.6087819551136897,0.18115630799421975,0.1528965260140802
4,LGBMClassifier(),4,0.8260065496599076,0.7057882306438948,0.5847953216374269,0.2846250540399675,0.6295409826607105,0.17986304523749921,0.1489842725933588
5,LGBMClassifier(),5,0.8219379411522411,0.7091830653628337,0.5946547884187081,0.2859478281927724,0.608964163680328,0.18759962925034612,0.15174353956263348
6,LGBMClassifier(),6,0.8257905354182995,0.7108032345244367,0.601536772777168,0.28779837721633106,0.583367353132611,0.2047570479508971,0.15484658108902258
7,LGBMClassifier(),7,0.8199920885324314,0.7038578336916239,0.5897714907508161,0.2794807384858988,0.5885834975890458,0.19384394174940656,0.15536784059480893
8,LGBMClassifier(),8,0.833973338206246,0.7254424778761062,0.621380846325167,0.3158450283233558,0.6176657308142322,0.20615050168217472,0.14643031498429962
9,LGBMClassifier(),9,0.8210866300642793,0.7198714502261385,0.6095551894563426,0.2842717110768602,0.6160140418128353,0.18163995571387936,0.15098895545850846
10,LGBMClassifier(),10,0.8278949487441544,0.7098611645717472,0.5934819897084049,0.29501353742615144,0.6241799465731712,0.1871023276801,0.14838176401539604
11,LGBMClassifier(),11,0.8212454007771397,0.7115305096110863,0.6026954177897574,0.2798460103119851,0.5831325982408981,0.19638075698958746,0.15601696010108582
12,LGBMClassifier(),12,0.8282746803260755,0.7216117527395953,0.6151315789473684,0.30227080209408785,0.6118900142295092,0.1970805993105398,0.14909274936625502
13,LGBMClassifier(),13,0.8140368387623629,0.6944517177163942,0.5730464326160815,0.2725760109989397,0.585274621030296,0.18521289554135625,0.15677435890075483
14,LGBMClassifier(),14,0.8245132284161075,0.7101356186900786,0.5970654627539503,0.2964266615573099,0.6074226823928273,0.19638379264447506,0.15050494218733196
15,LGBMClassifier(),15,0.8091814428626701,0.6941741340796467,0.5691788526434195,0.25116657920206586,0.6014427939284313,0.16323898211470078,0.1575195056984299
16,LGBMClassifier(),16,0.8269987769137895,0.7149881750872792,0.604364857302742,0.2966777992248263,0.6106007080240655,0.19475693361358357,0.15004188262252127
17,LGBMClassifier(),17,0.8307499485977015,0.7201615125837201,0.6119909502262444,0.30306061337699086,0.6165371330072986,0.19845165699619047,0.14835338283400865
18,LGBMClassifier(),18,0.8227349202530118,0.7012017351590931,0.5801968731905037,0.27933184085057383,0.6115177133055825,0.1815723887540861,0.1522911784899415
19,LGBMClassifier(),19,0.8285896576243649,0.7060429189841049,0.5964149918522542,0.29687627511015136,0.5706850892480086,0.22351303906721906,0.15506407161287256
20,LGBMClassifier(),20,0.8267588241050328,0.7024454368558744,0.5863409217101611,0.29006158573203034,0.5977146813960054,0.19710709857050573,0.1526829875444894
21,LGBMClassifier(),21,0.8274603483717409,0.7149338959212377,0.6059933407325194,0.3028578506316687,0.6043594739042857,0.20377734123626623,0.15001041758786088
22,LGBMClassifier(),22,0.8242488501674742,0.7167319916223688,0.6075949367088608,0.28975581456226984,0.6049285861461358,0.19306009087282985,0.1517669873155959
23,LGBMClassifier(),23,0.8113776372221981,0.6926081965082528,0.5704697986577181,0.25785072965863176,0.5801074691689301,0.17802130792201193,0.15952569067801042
24,LGBMClassifier(),24,0.8270572846705041,0.7079970404168081,0.5919381557150747,0.2885645649194539,0.6158865000996234,0.18832383793430715,0.15042545393775528
25,LGBMClassifier(),25,0.8316897654584222,0.7131730801773446,0.6077586206896552,0.308689242027113,0.5803486100373192,0.22568746438713028,0.15216816787778067
26,LGBMClassifier(),26,0.8168711549673254,0.7016961651917403,0.5843071786310516,0.27142794855552854,0.592843618229447,0.1835287569455483,0.15593694323425075
27,LGBMClassifier(),27,0.824181965738852,0.7079335833826853,0.5920000000000001,0.28720713680992227,0.6108783813878074,0.18806995249654904,0.15130719578498922
28,LGBMClassifier(),28,0.8275120581977172,0.7060185308012445,0.587564175698802,0.30043114511621805,0.6264724210952586,0.19000566044934106,0.14732631315335634
29,LGBMClassifier(),29,0.8192688988875121,0.7160267859490327,0.6052484645449469,0.2807600628379031,0.6061231917678174,0.1819894032596158,0.15284599384881803
30,LGBMClassifier(),30,0.8296256809928695,0.7124459658943604,0.5983002832861191,0.3012203039601502,0.6239139010941928,0.19287567183721965,0.14758177955461316
31,LGBMClassifier(),31,0.8158578129864187,0.7076818557145403,0.5897580191333708,0.27343260522689883,0.6151459792141379,0.17283132918539593,0.15257028353617386
32,LGBMClassifier(),32,0.8350192703845922,0.710660139200607,0.5943775100401606,0.3031769483741964,0.6303093800978865,0.1932406165167469,0.14640933887612959
33,LGBMClassifier(),33,0.8331986752429941,0.7189721205514946,0.6112035496394899,0.3098626315893034,0.6149196365643503,0.20269647573900187,0.14763078567456264
34,LGBMClassifier(),34,0.8283362040522602,0.7220314904443597,0.6171490988530858,0.3005267384944077,0.6036447412837964,0.20325605273918443,0.15043229824981752
35,LGBMClassifier(),35,0.8329580195494284,0.7128397225368315,0.5976878612716764,0.3044422106800395,0.6315713947054995,0.1932624170687083,0.146058644932011
