model,var_num,train_subset_size,test_auc_score,test_f1_score,test_pr_auc,test_pr_no_skill,test_efron_r2,test_ffc_r2,test_briern_r2,test_imv_r2
sl,1,51225,0.49479817180728725,0.0,0.37520737729950265,0.22733661278988054,-0.0001735861629650337,0.25332333029654175,0.17568516849653953,-6.96280002494509e-05
sl,2,51225,0.5069474462538472,0.0,0.26912290657236065,0.22733661278988054,0.00021270877463341886,0.25361171765401624,0.17561731398394267,0.00013639020538270538
sl,3,51225,0.6186333038052908,0.0,0.33018473577987467,0.22733661278988054,0.038078310547426386,0.2818801720695078,0.1689660439247151,0.018551211691137354
sl,4,51225,0.6426295045981667,0.0,0.35325619320226853,0.22733661278988054,0.04741791657573324,0.2888526276732516,0.16732549844193623,0.023402102397426582
sl,5,51225,0.6516194014936769,0.0015424164524421593,0.3502406239750355,0.22733661278988054,0.05332302453883486,0.29326106877700386,0.16628823860840297,0.026213311652553615
sl,6,51225,0.7556771976583427,0.0627450980392157,0.5506316148564536,0.22733661278988054,0.1865114152052083,0.392692472847024,0.1428930748291106,0.07628846783448585
sl,7,51225,0.8340680493693877,0.4820324252047468,0.6738570068800565,0.22733661278988054,0.3242421682644109,0.49551496429526176,0.11870002384963926,0.1265065698846008
sl,8,51225,0.8392886010431888,0.3641357661369434,0.6787411587897769,0.22733661278988054,0.3306929467758921,0.5003307741532543,0.11756691443203185,0.12900184517213753
sl,9,51225,0.9242296546827797,0.6186751795690344,0.8368004181916648,0.22733661278988054,0.5418253443852152,0.6579510489679795,0.08048052126764715,0.19474664015668663
sl,10,51225,0.9250724749052639,0.5654120378046759,0.8377340966928851,0.22733661278988054,0.5425136723287785,0.6584649181839577,0.08035961324486113,0.19506511857015302
sl,11,51225,0.9208658514709003,0.6459981018664979,0.8342792690463562,0.22733661278988054,0.5366325123408842,0.6540743553711554,0.08139266650453797,0.19220214048737067
sl,12,51225,0.922871118723895,0.6370805628575846,0.8374745348025422,0.22733661278988054,0.5430449697615425,0.6588615567307124,0.08026628836577186,0.194183365775637
sl,13,51225,0.9334625858771302,0.6956521739130436,0.8550787073095528,0.22733661278988054,0.5649997608372739,0.6752518418884643,0.07640982662472193,0.20337109172015752
sl,14,51225,0.9328131602760439,0.6879305181191974,0.8528711550784288,0.22733661278988054,0.5640410261772237,0.6745361013280264,0.07657823285202549,0.20303675796443377
sl,15,51225,0.9364547309180002,0.6548775184809393,0.8625347260810297,0.22733661278988054,0.5750602808302175,0.68276249370705,0.07464264923214167,0.20695987004680347
sl,16,51225,0.9391038692044383,0.6772863035130138,0.8674656701132393,0.22733661278988054,0.5846190855079008,0.6898985914223075,0.07296360048134745,0.21020816928393674
sl,17,51225,0.9380072862651181,0.7201074787281685,0.8656734760917907,0.22733661278988054,0.5824790468515619,0.6883009518134852,0.07333950828088293,0.20899885812643104
sl,18,51225,0.9410648268220525,0.7360280169268933,0.8688317066762965,0.22733661278988054,0.5855891774412626,0.690622810721967,0.0727931992958656,0.2109740022075995
sl,19,51225,0.9404292437111557,0.7265068990559187,0.8692172416627855,0.22733661278988054,0.5873345172894335,0.6919257890882848,0.07248662218809976,0.21176575734619815
sl,20,51225,0.9443830903888446,0.7183721616042464,0.8733527398380752,0.22733661278988054,0.592590023906549,0.6958492722043775,0.07156346786935316,0.2142016366376768
sl,21,51225,0.9440080448101517,0.7264560996812519,0.8726227649230375,0.22733661278988054,0.5919502207289118,0.6953716290106831,0.07167585229004061,0.21394080279102362
sl,22,51225,0.9249288175811262,0.7143482703254999,0.8382009373550203,0.22733661278988054,0.5424581282804608,0.6584234519369048,0.0803693698167429,0.19515243547046587
sl,23,51225,0.9254282112839607,0.6903388075159048,0.8434468384977973,0.22733661278988054,0.548808640046272,0.6631644079487504,0.0792538727219876,0.1969169352323465
sl,24,51225,0.9297830020780525,0.7066246056782335,0.8507321275321961,0.22733661278988054,0.5586535480213556,0.6705140952451061,0.07752456858882119,0.20051927297124367
sl,25,51225,0.9343806514553123,0.7232311492081941,0.856324674115875,0.22733661278988054,0.5648301127762565,0.6751251916239757,0.07643962610013029,0.20393380188936894
sl,26,51225,0.9348359795723111,0.7203791469194314,0.8586973410081561,0.22733661278988054,0.5698282252247074,0.6788565178751818,0.07556168427101295,0.20525992612084615
sl,1,54071,0.5,0.0,0.6136683063949403,0.22733661278988054,-0.000312679071597044,0.29356748317571646,0.17570960081651654,-0.00014418922373580283
sl,2,54071,0.5038939764433227,0.0,0.39785889960937626,0.22733661278988054,-0.000438213763910289,0.29347882910734857,0.17573165157238166,-0.00019669642758560516
sl,3,54071,0.6182231248541071,0.0,0.3912924478424966,0.22733661278988054,0.037514338319718066,0.32028136540352536,0.1690651082843653,0.01830168833732802
sl,4,54071,0.6427426459672042,0.0,0.33977699518644056,0.22733661278988054,0.04716235928038792,0.3270949106801335,0.1673703882761754,0.023286039004362522
sl,5,54071,0.6451389098771497,0.030007501875468866,0.35129286821340877,0.22733661278988054,0.04998707393967461,0.3290897572194399,0.16687421393430416,0.02390289209296441
sl,6,54071,0.7842431871324272,0.38265753905564326,0.5830314035225876,0.22733661278988054,0.2273611609310212,0.45435341258868056,0.13571762592687286,0.09334445909588854
sl,7,54071,0.844466697858151,0.35533191407006,0.6874113436801819,0.22733661278988054,0.3431362885169379,0.536115162166902,0.1153811832542846,0.132978425168356
sl,8,54071,0.8486008678636106,0.49063150589868154,0.6998121925327927,0.22733661278988054,0.3531856524580802,0.5432121405517139,0.1136159654743832,0.13630963659911974
sl,9,54071,0.924950801564135,0.6448526007099862,0.8439364917449131,0.22733661278988054,0.5493620947532514,0.6817542392091401,0.07915665581404674,0.19479094317662482
sl,10,54071,0.9285612705320834,0.6728028503562945,0.8465515597740935,0.22733661278988054,0.5549826684908983,0.6857235541389154,0.07816937574805945,0.19818828640277472
sl,11,54071,0.9234808813929365,0.6746207099720135,0.8428124682990764,0.22733661278988054,0.5514324392221226,0.6832163406944431,0.07879299012451886,0.19506023031537184
sl,12,54071,0.9316154822532245,0.6997888810696692,0.8466660773150676,0.22733661278988054,0.5616714579500152,0.6904472555084683,0.07699445859425716,0.20104120056138308
sl,13,54071,0.9374036345966821,0.6867686768676867,0.8673863106941839,0.22733661278988054,0.5848388732414542,0.7068083552276425,0.0729249937379411,0.20854343689686727
sl,14,54071,0.9374635634029393,0.7020702070207021,0.8615175510599102,0.22733661278988054,0.5814890598427686,0.7044426778153343,0.07351340412941905,0.2075544076065438
sl,15,54071,0.9445366268385619,0.6586538461538461,0.8770719367043915,0.22733661278988054,0.6000506590545165,0.7175510963346403,0.07025297241016962,0.21465857304604796
sl,16,54071,0.9436659068720994,0.6990553306342779,0.8732421780593733,0.22733661278988054,0.597533883130538,0.7157737197328471,0.07069505587286984,0.2137664275268885
sl,17,54071,0.9451081713488646,0.7039037185619503,0.8773726862775798,0.22733661278988054,0.6008717910572556,0.7181309893615669,0.07010873673322825,0.21501630996540066
