model,var_num,train_subset_size,test_auc_score,test_f1_score,test_pr_auc,test_pr_no_skill,test_efron_r2,test_ffc_r2,test_briern_r2,test_imv_r2
sl,1,34150,0.514322174450988,0.0,0.6055683186095735,0.22733661278988054,0.002959598205304337,0.0435850663419195,0.17513481000748776,0.0018046279584365754
sl,2,34150,0.6299413785183452,0.0,0.33540254202051284,0.22733661278988054,0.03843502335023441,0.07761500768171592,0.16890338565245797,0.01686214374763485
sl,3,34150,0.6430551953384273,0.0,0.3451281062832535,0.22733661278988054,0.045418851226648016,0.08431427208772835,0.16767664362068166,0.020873964286468042
sl,4,34150,0.643142291740028,0.0010298661174047373,0.3407552693529607,0.22733661278988054,0.0413000525931706,0.08036329827092259,0.16840012986540626,0.019787650855869154
sl,5,34150,0.662872672440918,0.0,0.37337673382580494,0.22733661278988054,0.06276838498214554,0.10095688069806585,0.1646291168679862,0.027890728741940308
sl,6,34150,0.6684008046372069,0.021678850516763295,0.36601214932739007,0.22733661278988054,0.060817944571442406,0.09908591304956449,0.16497172084887257,0.029237326477218297
sl,7,34150,0.6722915889124816,0.013248407643312103,0.3665525557150742,0.22733661278988054,0.06391891014379858,0.10206052649233222,0.16442702174201915,0.030694644161769518
sl,8,34150,0.6657567913912128,0.08380681818181819,0.36199095196747183,0.22733661278988054,0.06022732508378359,0.09851935897904796,0.16507546592436967,0.029172067635090126
sl,9,34150,0.665555518850504,0.010167768174885614,0.37387826549406755,0.22733661278988054,0.06419595715673942,0.10232628493103246,0.16437835713837098,0.029883636434736256
sl,10,34150,0.6729584201271136,0.0304847576211894,0.3658891048452841,0.22733661278988054,0.06501540449215382,0.10311234301606687,0.16423441738112482,0.03197830270800045
sl,11,34150,0.6731722661003781,0.06944114149821641,0.36986028691407935,0.22733661278988054,0.06597937572799473,0.10403703622199467,0.16406509132479072,0.03198085579002805
sl,12,34150,0.6828845789348772,0.05237395986294664,0.3833373764473438,0.22733661278988054,0.07485208162487611,0.11254821431112572,0.1625065590339171,0.03612871302810523
sl,13,34150,0.7021057746651893,0.2066214599122457,0.41349307930593887,0.22733661278988054,0.09606906808329418,0.13290069216410527,0.15877969612481338,0.04504982406428788
sl,14,34150,0.7396805699935266,0.21558943525875027,0.4804045206593485,0.22733661278988054,0.14580636292346605,0.1806113881993604,0.1500431076511263,0.0644442048925675
sl,15,34150,0.7694756808338015,0.30146187277755826,0.5153580483291224,0.22733661278988054,0.18174553063143495,0.21508617641984962,0.14373022474584715,0.07915788439593674
sl,16,34150,0.7733241273940187,0.3077223088923557,0.5219493351456388,0.22733661278988054,0.1876665853810089,0.2207659715167245,0.14269016378468252,0.08099913110889533
sl,17,34150,0.8049147497843968,0.3383888122907228,0.6097108515880542,0.22733661278988054,0.2567228722465882,0.28700848676719104,0.13056010400149215,0.10456396544940817
sl,18,34150,0.7994716054016403,0.41851986875683556,0.5973357680929049,0.22733661278988054,0.2465457064231399,0.27724600035406277,0.1323477707797852,0.1011549690696935
sl,19,34150,0.8740903882980547,0.6134663341645884,0.7325875272222746,0.22733661278988054,0.3989543669600806,0.42344460844855225,0.10557647669923793,0.1528612424417879
sl,20,34150,0.8816114388403641,0.6162350887401803,0.7541025832397152,0.22733661278988054,0.42118493950038693,0.44476937274400796,0.10167157265402961,0.15984878235597827
sl,21,34150,0.8829842956265461,0.6062168309325247,0.7606803334876706,0.22733661278988054,0.4257160656137857,0.4491158733204561,0.10087565915888774,0.16120626951608516
sl,22,34150,0.8837709844536925,0.33900726104035234,0.7605506979000135,0.22733661278988054,0.42722556918670473,0.4505638705700673,0.10061050779594104,0.16184075046340995
