model,pr_auc,roc_auc,f1,efron,ffc,ip,imv,seed
XGB,0.6745139739180229,0.8635750646028432,0.5726735138499844,0.3428623008788909,0.5623358462999483,0.22464295574910267,0.13903259088097247,581958458618
LGB,0.6300338029722714,0.840904257840648,0.5224476753474996,0.2926662876776549,0.5289045035749484,0.22464295574910267,0.12219807409196094,581958458618
SGD,0.5321378118714,0.7689927555942598,0.5271752376310017,-0.17152054034238784,0.21974869724118062,0.22464295574910267,-0.35287345985909885,581958458618
DecisionTree,0.7394388600468893,0.812943579571905,0.7071963447137961,0.23086649615217825,0.4877448600283796,0.22464295574910267,-0.3528734531906021,581958458618
AdaBoost,0.581371866341897,0.8163074023077481,0.4802855752068798,-0.3817842887966876,0.07970969834622954,0.22464295574910267,-0.24258155621609132,581958458618
LogisticRegression,0.5833213373898634,0.8142911821111762,0.4669677203545743,0.24650525683835678,0.4981605232444577,0.22464295574910267,0.10518778890196195,581958458618
SVC,0.5615130982796536,0.775726043491425,0.3362273086029992,0.19157255395894468,0.4615744698977551,0.22464295574910267,0.07710733867982066,581958458618
Gaussian,0.4014211079892249,0.7212053751502271,0.40787921679641426,-0.4118482434157882,0.05968662666301383,0.22464295574910267,-0.3528734531906021,581958458618
KNeighbors,0.5940814571667827,0.8124066998589666,0.5232506314069232,0.22653241052147954,0.48485829010222814,0.22464295574910267,-0.3528734531906021,581958458618
Bagging,0.804188941362244,0.9091246473874555,0.7149148561362302,0.49545908999430444,0.6639677335815121,0.22464295574910267,-0.3528734531906021,581958458618
RandomForest,0.8095117849683398,0.9133092380289012,0.6915887850467289,0.4932953810909789,0.6625266690568412,0.22464295574910267,-0.3528734531906021,581958458618
ExtraTrees,0.8401849888592481,0.9231231730939164,0.7354379724321921,0.5431273641079418,0.6957155618923669,0.22464295574910267,-0.3528734531906021,581958458618
sl,0.8828688465798886,0.9474377511611487,0.7236325569222716,0.6119615420542479,0.7415602186162183,0.22464295574910267,0.21728845330893326,581958458618
XGB,0.6745139739180229,0.8635750646028432,0.5726735138499844,0.3428623008788909,0.5623358462999483,0.22464295574910267,0.13903259088097247,38327358814
LGB,0.6300338029722714,0.840904257840648,0.5224476753474996,0.2926662876776549,0.5289045035749484,0.22464295574910267,0.12219807409196094,38327358814
SGD,0.530996413436639,0.7675731682012111,0.511801573543139,-0.11098418774558616,0.2600668703771951,0.22464295574910267,-0.35287345985909885,38327358814
DecisionTree,0.7377070782456998,0.8103906065681582,0.7048008171603677,0.22919954014037114,0.4866346408260136,0.22464295574910267,-0.3528734531906021,38327358814
AdaBoost,0.581371866341897,0.8163074023077481,0.4802855752068798,-0.3817842887966876,0.07970969834622954,0.22464295574910267,-0.24258155621609132,38327358814
LogisticRegression,0.5833213373898634,0.8142911821111762,0.4669677203545743,0.24650525683835678,0.4981605232444577,0.22464295574910267,0.10518778890196195,38327358814
SVC,0.5615201678226042,0.775727253977168,0.3362273086029992,0.19167153179277086,0.46164039070846874,0.22464295574910267,0.077115115067441,38327358814
Gaussian,0.4014211079892249,0.7212053751502271,0.40787921679641426,-0.4118482434157882,0.05968662666301383,0.22464295574910267,-0.3528734531906021,38327358814
KNeighbors,0.5940814571667827,0.8124066998589666,0.5232506314069232,0.22653241052147954,0.48485829010222814,0.22464295574910267,-0.3528734531906021,38327358814
Bagging,0.8061622827049282,0.9101140730525803,0.7209573847051955,0.49622922367175937,0.6644806548530051,0.22464295574910267,-0.3528734531906021,38327358814
RandomForest,0.8094171997945326,0.9122493699031229,0.7008029086502044,0.4949656710148096,0.6636391086976118,0.22464295574910267,-0.3528734531906021,38327358814
ExtraTrees,0.8394809246078594,0.9221850661671032,0.7298549857975781,0.5362128305709659,0.6911103726409533,0.22464295574910267,-0.3528734531906021,38327358814
sl,0.8813832963005783,0.9462151898467268,0.7570144374829747,0.6095183305265346,0.7399330009006362,0.22464295574910267,0.21658178737351874,38327358814
