model,var_num,train_subset_size,test_auc_score,test_f1_score,test_pr_auc,test_pr_no_skill,test_efron_r2,test_ffc_r2,test_briern_r2,test_imv_r2
sl,1,39841,0.6067587705744504,0.048949320148331275,0.32706540358139047,0.22385972461273665,0.03108716320076177,0.12618674194497814,0.03108716320076177,0.013629478768815099
sl,2,39841,0.6195007144599239,0.09067296340023613,0.3453154209527979,0.22385972461273665,0.04348954919394732,0.1373718237198902,0.04348954919394732,0.020777353429225775
sl,3,39841,0.6203568109776532,0.1991955564068186,0.34439313382481973,0.22385972461273665,0.04353019751711951,0.1374084823772601,0.04353019751711951,0.02144093332638672
sl,4,39841,0.6256454817604399,0.14809931883102614,0.352390098965045,0.22385972461273665,0.047203739800210975,0.1407214635135149,0.047203739800210975,0.022959713474787553
sl,5,39841,0.6166225307945621,0.03864491844416562,0.3303359015127093,0.22385972461273665,0.03308100522728619,0.1279848867636595,0.03308100522728619,0.01574901264826587
sl,6,39841,0.6543172325453228,0.03271263210870659,0.35622522845885163,0.22385972461273665,0.054773940638400354,0.14754864301544135,0.054773940638400354,0.02703329686711378
sl,7,39841,0.6620129737519053,0.018772196854388638,0.3674594748530546,0.22385972461273665,0.06070907252151225,0.15290123690293755,0.06070907252151225,0.02940276534764967
sl,8,39841,0.6764863027290517,0.08832656958701361,0.38371262920822174,0.22385972461273665,0.07106331881671824,0.16223920554809113,0.07106331881671824,0.03392219414640085
sl,9,39841,0.6803317914087843,0.06539113586824898,0.3996149048767392,0.22385972461273665,0.08001905791476749,0.1703159316088262,0.08001905791476749,0.037474334378909596
sl,10,39841,0.6870715514998816,0.16029593094944516,0.4172953955944453,0.22385972461273665,0.0907854957922185,0.1800256348989806,0.0907854957922185,0.04117586623038053
sl,11,39841,0.6951306043830361,0.1764464505539598,0.41982430505051266,0.22385972461273665,0.09527114148410254,0.18407101083749533,0.09527114148410254,0.04305194777255557
sl,12,39841,0.850123004875446,0.40568475452196384,0.6514779702294363,0.22385972461273665,0.3219330664971869,0.38848588454996424,0.3219330664971869,0.12997474643564164
sl,13,39841,0.8535810795455477,0.47702560505085934,0.6677405211461286,0.22385972461273665,0.33472213604237067,0.40001969657343417,0.33472213604237067,0.13347555156697002
sl,14,39841,0.8506849826435869,0.5028784287165594,0.6671702467058745,0.22385972461273665,0.33705576175711505,0.40212427503646486,0.33705576175711505,0.13273330943048506
sl,15,39841,0.8644436662192555,0.5408354114713216,0.6804529498384049,0.22385972461273665,0.35756325424138913,0.4206189405436527,0.35756325424138913,0.1405327389067517
sl,16,39841,0.864623511209918,0.5429995177624176,0.6818350430099069,0.22385972461273665,0.35656197800807043,0.4197159403826274,0.35656197800807043,0.14114831315208268
sl,17,39841,0.8848081852577363,0.5869704749679076,0.7454418822195386,0.22385972461273665,0.42213198941009167,0.4788502021219804,0.42213198941009167,0.1597787923454726
sl,18,39841,0.8845457831870092,0.5771176758609433,0.7501243376175001,0.22385972461273665,0.4243429899589668,0.48084419117837085,0.4243429899589668,0.160114885276385
sl,19,39841,0.8885175431012972,0.6007344561225783,0.757784595154364,0.22385972461273665,0.4363019719876091,0.491629389446556,0.4363019719876091,0.16359913837953044
sl,20,39841,0.8960303252450239,0.6065651013035966,0.7787289059296003,0.22385972461273665,0.4565770547014477,0.5099144563902869,0.4565770547014477,0.17063886337409978
sl,21,39841,0.8984738957187618,0.6184169031851151,0.7874009350636809,0.22385972461273665,0.4637966609969102,0.5164254524874722,0.4637966609969102,0.17330744339617754
sl,22,39841,0.9016800819725326,0.5798640611724724,0.7918548542591702,0.22385972461273665,0.4702290016615891,0.5222264537124024,0.4702290016615891,0.1752425367963103
sl,23,39841,0.899762906843282,0.6438502673796791,0.7927749115580667,0.22385972461273665,0.4705554429629586,0.5225208545359643,0.4705554429629586,0.17469611633808316
sl,24,39841,0.9027446456115558,0.6440781440781441,0.7974164300132012,0.22385972461273665,0.47711505937108434,0.5284366392871609,0.47711505937108434,0.1772142085672202
sl,25,39841,0.9044533926674396,0.6657828840771837,0.8029491681048977,0.22385972461273665,0.4832991396176981,0.5340137470548918,0.4832991396176981,0.17936853165849137
sl,26,39841,0.9057753797664732,0.6281569048898441,0.8041318251092822,0.22385972461273665,0.48459971265727775,0.5351866677985243,0.48459971265727775,0.1800348288880459
sl,1,42687,0.6068022797273236,0.056524944703858444,0.32185488573180987,0.22399598393574296,0.030341417166043105,0.15993993119921568,0.030341417166043105,0.014234317543315412
sl,2,42687,0.6214426362130321,0.10590440487347703,0.35059233531812145,0.22399598393574296,0.04813171168383612,0.17535248599033082,0.04813171168383612,0.023293509674187578
sl,3,42687,0.6270841440659216,0.1473590767865069,0.3525269937772326,0.22399598393574296,0.04723657566518691,0.1745769882649203,0.04723657566518691,0.023450907916538543
sl,4,42687,0.6267313655677096,0.1697385340762966,0.3570067578409234,0.22399598393574296,0.048370472602054404,0.17555933561445236,0.048370472602054404,0.02270866363043769
sl,5,42687,0.6225367298469939,0.06732387593171435,0.33511601356716264,0.22399598393574296,0.03781506764145803,0.16641470019906401,0.03781506764145803,0.018775371126835954
sl,6,42687,0.657363956826425,0.04387933183744703,0.36132930713960243,0.22399598393574296,0.058078104120452556,0.18396950569452752,0.058078104120452556,0.02880156110819951
sl,7,42687,0.6615030663946745,0.03899025243689078,0.37356042141525525,0.22399598393574296,0.06221353542434638,0.1875522210617413,0.06221353542434638,0.02964153403361662
sl,8,42687,0.6824286553369887,0.10578512396694215,0.4059755057640957,0.22399598393574296,0.0835147141022623,0.20600641714940893,0.0835147141022623,0.039008477637066774
sl,9,42687,0.6857766050904284,0.0801351677528361,0.4101347613590276,0.22399598393574296,0.0869125661272564,0.20895013348052116,0.0869125661272564,0.04010874768429606
