model,train_subset_size,var_num,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,11952,13,0.6601626681979702,0.8147760597470771,0.6138660399529964,0.4801039467273022,0.5869499268116809,0.22180388219544847,0.4219308280135844,0.2500720759945685,0.4219308280135844,0.2716217673140885,0.13172834747076315,0.10558958728958863
lgb,11952,14,0.5615591743612559,0.7310833878637637,0.44063991018804377,0.25019920318725103,0.4403735683532937,0.22180388219544847,0.29317228676260176,0.12125896733109487,0.29317228676260176,0.14651019134562304,0.15435497250184857,0.05775809371044355
lgb,11952,15,0.6587151810609431,0.8167204415195986,0.6351633078526755,0.47719184729860886,0.5843237335008468,0.22180388219544847,0.43802593297063563,0.2478793089395872,0.43802593297063563,0.2694920109187424,0.13211351726014536,0.10603312182636786
lgb,11952,16,0.5753932692463134,0.7450544531154272,0.4763200870985302,0.2883649014302281,0.4600423895501087,0.22180388219544847,0.3348873017458951,0.13787868524960278,0.3348873017458951,0.1626523303135453,0.1514356413144698,0.0646859350821846
lgb,11952,17,0.6650424095632435,0.8195193774167251,0.6482758620689656,0.48966975760533593,0.5956006470555207,0.22180388219544847,0.45297497779596063,0.2598796519214721,0.45297497779596063,0.281147515845249,0.1300056008864718,0.10879342290616228
lgb,11952,18,0.6599439021858795,0.8170139452643339,0.6461107217939734,0.4800527530497857,0.5934322359661703,0.22180388219544847,0.45739887618220065,0.2557163605447672,0.45739887618220065,0.2771038594910167,0.13073690248964914,0.10766891041202514
lgb,11952,19,0.659799991050215,0.8166040494106223,0.6516220028208746,0.47978881372710774,0.5924262979814955,0.22180388219544847,0.46762035367224997,0.25414067465717904,0.46762035367224997,0.27557345201406913,0.13101367908572037,0.10723074340788129
lgb,11952,20,0.5858718390800558,0.7500794332458894,0.49082073434125273,0.3139957878613823,0.4745484903364062,0.22180388219544847,0.34969274676552853,0.14860421324769446,0.34969274676552853,0.1730696529358947,0.1495516521553599,0.06760122573575995
lgb,11952,21,0.6644588578153293,0.8199000068490064,0.6698762035763411,0.4884702825592725,0.5983960484342183,0.22180388219544847,0.47141878553790595,0.25959968722335625,0.47141878553790595,0.28087559612403235,0.1300547779951678,0.10920433648790663
lgb,11952,22,0.6696482687671953,0.822829831398079,0.675792835957107,0.4979971158468195,0.5956110108880279,0.22180388219544847,0.47714424019158086,0.26150461744367703,0.47714424019158086,0.2827257868728399,0.12972016809208572,0.110433294209639
lgb,11952,23,0.6680731534801426,0.8223537981176869,0.6668199586111749,0.49553208773354995,0.5972975232026365,0.22180388219544847,0.4763487816628149,0.2614168257596864,0.4763487816628149,0.2826405179428765,0.12973558911200456,0.11021485074537266
lgb,11952,24,0.5905076870920907,0.7625618157973387,0.5430290347894323,0.3276603703011034,0.4935723699953111,0.22180388219544847,0.39021520072264426,0.1637728127639122,0.39021520072264426,0.1878023723803609,0.1468872167026234,0.07428828300164667
lgb,11952,25,0.671633973008667,0.8244017057071747,0.6902815622161671,0.5021798805102534,0.6042251415823157,0.22180388219544847,0.4904268200099988,0.2672379164776253,0.4904268200099988,0.28829433564150375,0.1287130873005559,0.11207542479731232
lgb,11952,26,0.6671257531466578,0.8242712270584642,0.6889191643960038,0.4935275080906149,0.5974121338802313,0.22180388219544847,0.49501216615865606,0.2645941095098593,0.49501216615865606,0.2857265002734608,0.1291774843602565,0.11136933522715317
lgb,12151,2,0.5,0.5522547756981633,0.0,0.0,0.3729935908040576,0.22121636079335033,0.010758591787424776,0.011072211327810555,0.010758591787424776,0.037852682649533786,0.17370979156759617,0.005573520130556998
lgb,12151,3,0.5014763045072944,0.5787736483032855,0.03688969258589512,0.017513134851138354,0.2758980004755208,0.22121636079335033,0.05608046265091837,0.00407228080640476,0.05608046265091837,0.031042312418302687,0.17493936210428185,0.001894084484588753
lgb,12151,4,0.5672263562262739,0.71799003215753,0.3358294930875576,0.26540284360189575,0.4294324907037601,0.22121636079335033,0.20623543423796098,0.11023168812018225,0.20623543423796098,0.1343268900471798,0.1562919656728639,0.0522620579240894
lgb,12151,5,0.5340816360956541,0.6770831991060836,0.277639751552795,0.1596693495758103,0.3818475479933673,0.22121636079335033,0.20770863806033546,0.0713783101109502,0.20770863806033546,0.096525673568291,0.1631167432481232,0.03369331565691208
lgb,12151,6,0.5577644772728179,0.7072820362275736,0.33899297423887587,0.23531819111929606,0.4192146759834596,0.22121636079335033,0.2317795025411229,0.1004795191956035,0.2317795025411229,0.1248388128825868,0.1580049797580431,0.048483784110332766
