model,var_num,train_subset_size,test_auc_score,test_f1_score,test_pr_auc,test_pr_no_skill,test_efron_r2,test_ffc_r2,test_briern_r2,test_imv_r2
sl,1,34150,0.7899272084160467,0.41634514205541917,0.5437160110976357,0.22733661278988054,0.21041712563664883,0.24258951689173314,0.13869392497824382,0.08962088718000166
sl,2,34150,0.7926072628988384,0.43961191033790564,0.5426387973381526,0.22733661278988054,0.21176801415874014,0.24388536202891087,0.13845663509086123,0.09082977078742166
sl,3,34150,0.7915645368130972,0.4237610084614057,0.5441331181342878,0.22733661278988054,0.20994383255350124,0.24213550863699784,0.13877706112202065,0.09045230698703262
sl,4,34150,0.8568979081010157,0.5821138211382114,0.7078511303039287,0.22733661278988054,0.3750393202665272,0.4005040056849398,0.10977726650821308,0.14260690623730116
sl,5,34150,0.8685542024667826,0.5848783314020858,0.7201625548054681,0.22733661278988054,0.3940796352739877,0.4187685028727267,0.1064327461203613,0.14948105859222813
sl,6,34150,0.8771401095075689,0.46349206349206346,0.7352971809493305,0.22733661278988054,0.40912870613480956,0.4332043833877598,0.10378930643501345,0.1551727009687337
sl,7,34150,0.8862639603173097,0.5976241242765764,0.7618365943594423,0.22733661278988054,0.43057697123780636,0.45377871619176546,0.10002181835023566,0.16384544612962684
sl,8,34150,0.8889721781175883,0.5936732186732187,0.7655854232770329,0.22733661278988054,0.4346792958764689,0.4577138872641392,0.09930122583975368,0.16533137068639428
sl,9,34150,0.8938472825415078,0.6154087556880591,0.7757202275172188,0.22733661278988054,0.44901559285065995,0.47146603662016573,0.09678298822143211,0.17037375971124022
sl,10,34150,0.8952710285388024,0.5978487718734948,0.7818599974449663,0.22733661278988054,0.4508706359175001,0.4732454939907108,0.09645714123019487,0.17206802222304177
sl,11,34150,0.8952775885905705,0.6003546670965662,0.7817185206380397,0.22733661278988054,0.45058246585165707,0.47296906571969055,0.09650775965011088,0.17192341065164718
sl,12,34150,0.8971160528605848,0.5741496598639455,0.7842614603954673,0.22733661278988054,0.4551606468398215,0.47736070387014895,0.09570358074612784,0.17351145959773426
sl,13,34150,0.900302461339233,0.5901639344262295,0.7889926588869901,0.22733661278988054,0.4606379550317593,0.4826148333332956,0.09474146594333671,0.17588659659601869
