,HHID,PN,var1,zero_counts,var2,var3,var4,var5,var6,var7
85,010776,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
86,010818,010,5.0,0,5.0,5.0,5.0,5.0,2.0,3.0
87,010818,040,5.0,0,4.0,5.0,5.0,6.0,5.0,3.0
88,010822,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
89,010822,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
90,010893,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
91,010896,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
92,010902,010,4.0,0,4.0,4.0,2.0,6.0,4.0,6.0
93,010917,010,6.0,0,6.0,6.0,6.0,6.0,1.0,6.0
94,010941,010,6.0,0,4.0,4.0,1.0,5.0,4.0,3.0
95,010962,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
96,010989,010,5.0,0,6.0,2.0,5.0,4.0,4.0,6.0
97,010989,020,5.0,0,6.0,6.0,6.0,6.0,3.0,6.0
98,010994,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
99,011010,010,4.0,0,3.0,4.0,3.0,3.0,3.0,3.0
100,011067,020,6.0,0,6.0,6.0,6.0,6.0,5.0,6.0
101,011067,030,5.0,0,3.0,5.0,3.0,6.0,5.0,3.0
102,011071,010,5.0,0,5.0,3.0,6.0,6.0,2.0,5.0
103,011071,020,5.0,0,6.0,5.0,6.0,6.0,6.0,5.0
104,011074,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
105,011141,010,6.0,0,6.0,5.0,5.0,6.0,6.0,6.0
106,011141,020,5.0,0,6.0,6.0,6.0,6.0,5.0,6.0
107,011179,010,6.0,0,6.0,6.0,6.0,6.0,4.0,6.0
108,011179,020,6.0,0,6.0,5.0,4.0,5.0,4.0,6.0
109,011186,010,6.0,0,1.0,6.0,1.0,1.0,1.0,6.0
110,011212,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
111,011219,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
112,011230,010,1.0,0,6.0,6.0,6.0,6.0,1.0,6.0
113,011248,010,6.0,0,1.0,6.0,5.0,6.0,1.0,6.0
114,011253,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
115,011256,010,5.0,0,2.0,4.0,4.0,2.0,1.0,3.0
116,011256,040,1.0,0,5.0,2.0,4.0,5.0,1.0,2.0
117,011277,010,5.0,3,2.0,5.0,0.0,0.0,1.0,0.0
118,011323,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
119,011332,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
120,011332,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
121,011333,020,4.0,0,3.0,3.0,3.0,4.0,3.0,3.0
122,011333,030,5.0,0,4.0,5.0,5.0,4.0,5.0,5.0
123,011341,010,5.0,0,4.0,4.0,5.0,6.0,4.0,5.0
124,011345,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
125,011345,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
126,011347,020,6.0,0,6.0,5.0,6.0,6.0,6.0,5.0
127,011347,030,4.0,0,6.0,2.0,6.0,6.0,5.0,5.0
128,011368,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
129,011368,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
130,011377,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
131,011377,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
132,011378,010,5.0,0,5.0,5.0,5.0,5.0,5.0,5.0
133,011378,020,6.0,0,6.0,6.0,6.0,6.0,6.0,6.0
134,011379,020,6.0,0,2.0,6.0,5.0,1.0,1.0,4.0
135,011387,020,5.0,0,6.0,6.0,4.0,3.0,2.0,5.0
136,011423,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
137,011466,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
138,011467,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
139,011477,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
140,011477,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
141,011479,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
142,011479,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
143,011506,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
144,011563,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
145,011575,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
146,011575,020,5.0,0,4.0,5.0,5.0,4.0,3.0,4.0
147,011582,020,4.0,0,4.0,4.0,4.0,4.0,4.0,4.0
148,011590,020,5.0,0,6.0,5.0,6.0,2.0,3.0,5.0
149,011608,010,6.0,0,6.0,6.0,6.0,6.0,2.0,6.0
150,011608,040,6.0,0,6.0,1.0,1.0,6.0,1.0,1.0
151,011611,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
152,011612,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
153,011620,010,5.0,0,6.0,5.0,6.0,6.0,5.0,5.0
154,011620,040,6.0,0,6.0,5.0,4.0,6.0,4.0,5.0
155,011626,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
156,011626,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
157,011656,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
158,011667,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
159,011667,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
160,011671,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
161,011671,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
162,011678,010,4.0,0,5.0,5.0,5.0,6.0,4.0,4.0
163,011678,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
164,011678,041,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
165,011690,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
166,011694,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
167,011694,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
168,011716,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
169,011765,010,6.0,0,6.0,3.0,6.0,6.0,1.0,4.0
170,011787,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
171,011793,010,6.0,0,6.0,6.0,6.0,1.0,3.0,6.0
172,011798,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
173,011802,010,6.0,0,6.0,6.0,4.0,5.0,6.0,6.0
174,011825,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
175,011825,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
176,011841,010,5.0,0,6.0,1.0,1.0,6.0,1.0,6.0
177,011854,010,6.0,0,6.0,6.0,6.0,4.0,6.0,6.0
178,011854,020,6.0,0,1.0,6.0,2.0,1.0,1.0,6.0
179,011856,010,4.0,0,3.0,5.0,2.0,6.0,2.0,3.0
180,011859,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
181,011862,020,4.0,0,4.0,4.0,5.0,5.0,5.0,5.0
182,011862,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
183,011876,010,4.0,0,2.0,5.0,3.0,2.0,2.0,5.0
184,011881,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
185,011881,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
186,011902,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
187,011902,031,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
188,011907,010,5.0,0,6.0,5.0,6.0,3.0,3.0,5.0
189,011907,020,4.0,0,5.0,6.0,6.0,5.0,6.0,5.0
190,011911,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
191,011911,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
192,011932,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
193,011932,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
194,011933,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
195,011936,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
196,011936,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
197,011937,010,5.0,0,5.0,5.0,2.0,3.0,1.0,5.0
198,011948,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
199,011983,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
200,011993,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
201,011993,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
202,011999,010,6.0,0,6.0,6.0,1.0,6.0,6.0,6.0
203,011999,020,5.0,0,6.0,6.0,6.0,6.0,2.0,5.0
204,012005,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
205,012005,040,5.0,0,3.0,4.0,4.0,3.0,2.0,4.0
206,012009,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
207,012009,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
208,012010,010,6.0,0,4.0,5.0,6.0,6.0,4.0,6.0
209,012010,020,6.0,0,6.0,6.0,6.0,6.0,6.0,6.0
210,012033,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
211,012033,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
212,012045,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
213,012045,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
214,012094,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
215,012104,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
216,012104,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
217,012106,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
218,012108,010,6.0,0,2.0,6.0,6.0,4.0,1.0,3.0
219,012112,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
220,012118,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
221,012124,020,6.0,0,6.0,6.0,6.0,6.0,6.0,6.0
222,012124,030,5.0,1,3.0,6.0,0.0,3.0,6.0,5.0
223,012135,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
224,012135,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
225,012145,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
226,012145,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
227,012161,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
228,012161,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
229,012162,010,4.0,0,6.0,6.0,6.0,6.0,6.0,6.0
230,012166,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
231,012166,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
232,012172,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
233,012172,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
234,012174,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
235,012178,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
236,012179,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
237,012183,010,5.0,0,2.0,6.0,3.0,6.0,5.0,6.0
238,012195,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
239,012196,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
240,012196,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
241,012218,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
242,012218,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
243,012223,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
244,012232,010,5.0,0,4.0,5.0,1.0,5.0,5.0,5.0
245,012232,040,5.0,0,2.0,4.0,4.0,4.0,4.0,6.0
246,012235,010,4.0,0,5.0,4.0,5.0,4.0,4.0,5.0
247,012235,040,5.0,0,2.0,6.0,2.0,3.0,5.0,5.0
248,012242,010,5.0,0,4.0,5.0,6.0,6.0,5.0,3.0
249,012242,020,6.0,0,3.0,5.0,5.0,5.0,3.0,4.0
250,012243,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
251,012243,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
252,012252,020,2.0,0,6.0,5.0,6.0,1.0,1.0,6.0
253,012273,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
254,012273,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
255,012274,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
256,012274,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
257,012276,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
258,012276,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
259,012280,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
260,012280,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
261,012285,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
262,012292,010,5.0,0,3.0,4.0,3.0,2.0,3.0,5.0
263,012292,020,5.0,0,5.0,5.0,6.0,6.0,6.0,5.0
264,012302,010,5.0,0,5.0,5.0,5.0,6.0,6.0,5.0
265,012310,010,5.0,0,5.0,5.0,3.0,5.0,6.0,2.0
266,012310,011,4.0,0,4.0,5.0,4.0,2.0,5.0,4.0
267,012315,010,4.0,0,3.0,5.0,3.0,4.0,5.0,4.0
268,012315,040,5.0,0,4.0,4.0,5.0,5.0,3.0,5.0
269,012318,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
270,012319,010,4.0,0,2.0,5.0,5.0,5.0,3.0,5.0
271,012344,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
272,012344,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
273,012393,020,6.0,0,6.0,4.0,3.0,6.0,6.0,5.0
274,012393,030,5.0,0,2.0,4.0,3.0,3.0,3.0,4.0
275,012394,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
276,012401,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
277,012417,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
278,012418,020,5.0,0,6.0,6.0,6.0,6.0,6.0,6.0
279,012418,030,1.0,0,5.0,5.0,4.0,5.0,5.0,3.0
280,012443,010,4.0,0,5.0,2.0,5.0,6.0,4.0,2.0
281,012443,040,5.0,0,5.0,5.0,5.0,5.0,2.0,5.0
282,012445,010,5.0,0,6.0,3.0,3.0,5.0,6.0,5.0
283,012455,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
284,012458,020,6.0,0,6.0,5.0,6.0,6.0,6.0,6.0
285,012474,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
286,012479,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
287,012481,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
288,012481,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
289,012484,010,6.0,0,1.0,6.0,1.0,5.0,5.0,2.0
290,012484,020,4.0,0,2.0,4.0,3.0,2.0,4.0,4.0
291,012494,010,3.0,0,6.0,4.0,6.0,3.0,3.0,4.0
292,012494,040,5.0,0,5.0,5.0,5.0,6.0,3.0,4.0
293,012507,010,6.0,0,3.0,5.0,2.0,3.0,6.0,2.0
294,012510,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
295,012510,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
296,012512,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
297,012512,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
298,012513,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
299,012513,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
300,012514,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
301,012514,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
302,012516,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
303,012516,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
304,012520,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
305,012529,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
306,012543,010,6.0,0,6.0,5.0,6.0,6.0,4.0,5.0
307,012549,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
308,012549,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
309,012549,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
310,012562,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
311,012562,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
312,012571,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
313,012573,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
314,012573,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
315,012574,020,2.0,0,4.0,1.0,6.0,6.0,5.0,1.0
316,012586,010,6.0,0,2.0,4.0,2.0,1.0,6.0,6.0
317,012586,020,4.0,0,3.0,4.0,3.0,2.0,3.0,4.0
318,012588,010,6.0,0,4.0,5.0,5.0,3.0,3.0,3.0
319,012588,020,4.0,0,5.0,3.0,5.0,5.0,2.0,5.0
320,012596,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
321,012596,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
322,012605,010,4.0,1,0.0,1.0,6.0,6.0,1.0,6.0
323,012605,040,6.0,0,6.0,6.0,6.0,1.0,1.0,5.0
324,012605,041,6.0,0,6.0,6.0,6.0,1.0,1.0,5.0
325,012611,010,6.0,0,6.0,5.0,6.0,6.0,6.0,6.0
326,012611,020,6.0,0,6.0,6.0,6.0,6.0,6.0,6.0
327,012629,010,6.0,0,3.0,5.0,5.0,6.0,4.0,5.0
328,012629,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
329,012629,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
330,012648,040,6.0,0,5.0,6.0,6.0,2.0,3.0,6.0
331,012653,010,5.0,0,5.0,5.0,3.0,4.0,4.0,3.0
332,012653,040,4.0,0,5.0,2.0,6.0,6.0,6.0,4.0
333,012666,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
334,012667,010,6.0,0,1.0,6.0,6.0,1.0,1.0,6.0
335,012671,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
336,012682,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
337,012695,020,6.0,1,4.0,5.0,0.0,5.0,5.0,4.0
338,012695,030,6.0,0,6.0,6.0,6.0,1.0,2.0,6.0
339,012709,020,1.0,0,3.0,6.0,6.0,6.0,6.0,6.0
340,012715,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
341,012715,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
342,012738,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
343,012738,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
344,012744,010,5.0,0,4.0,5.0,4.0,3.0,2.0,5.0
345,012744,011,5.0,0,2.0,4.0,2.0,2.0,3.0,5.0
346,012745,010,4.0,0,3.0,4.0,3.0,3.0,1.0,4.0
347,012745,020,5.0,0,5.0,6.0,6.0,3.0,3.0,5.0
348,012756,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
349,012756,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
350,012761,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
351,012762,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
352,012762,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
353,012765,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
354,012786,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
355,012792,010,5.0,0,6.0,4.0,6.0,6.0,6.0,6.0
356,012799,020,0.0,1,6.0,6.0,6.0,6.0,6.0,6.0
357,012799,030,6.0,0,6.0,6.0,6.0,6.0,6.0,6.0
358,012821,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
359,012852,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
360,012854,010,5.0,0,5.0,5.0,3.0,3.0,6.0,5.0
361,012864,020,6.0,0,6.0,1.0,5.0,6.0,6.0,6.0
362,012887,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
363,012909,020,4.0,0,4.0,4.0,4.0,4.0,4.0,4.0
364,012920,010,2.0,2,6.0,0.0,0.0,6.0,6.0,6.0
365,012948,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
366,012964,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
367,012964,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
368,012967,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
369,012979,010,5.0,0,6.0,6.0,6.0,6.0,6.0,6.0
370,012979,020,6.0,0,3.0,6.0,6.0,6.0,1.0,6.0
371,012981,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
372,012987,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
373,012987,020,5.0,0,6.0,6.0,3.0,5.0,6.0,6.0
374,013054,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
