,HHID,PN,value
397,013242,010,
398,013257,010,
399,013286,010,
400,013286,020,
401,013296,010,
402,013305,030,
403,013317,010,
404,013317,040,
405,013318,010,
406,013318,020,
407,013344,010,
408,013344,040,
409,013371,010,
410,013371,012,2.0
411,013376,010,
412,013376,020,
413,013387,040,
414,013390,020,
415,013390,021,
416,013392,020,
417,013399,010,
418,013418,010,
419,013433,030,
420,013465,010,
421,013465,040,
422,013518,040,
423,013527,020,
424,013527,010,
425,013547,010,
426,013547,020,
427,013552,020,
428,013552,030,
429,013560,010,
430,013561,010,
431,013561,020,
432,013573,010,
433,013573,020,
434,013583,020,
435,013583,030,
436,013590,030,
437,013590,040,
438,013595,011,
439,013598,010,
440,013598,020,
441,013600,010,
442,013600,020,
443,013601,040,
444,013602,020,
445,013602,030,
446,013612,010,
447,013631,010,
448,013635,010,
449,013635,020,
450,013637,010,
451,013637,040,
452,013656,040,
453,013671,010,
454,013671,020,
455,013699,010,
456,013699,040,
457,013734,010,
458,013734,020,
459,013738,010,
460,013738,020,
461,013753,010,
462,013753,020,
463,013757,030,
464,013772,020,
465,013772,030,
466,013784,010,
467,013784,040,
468,013802,020,
469,013813,010,
470,013814,010,
471,013814,040,
472,013815,010,
473,013816,010,
474,013816,040,
475,013817,010,
476,013817,011,
477,013817,040,
478,013817,041,
479,013820,010,
480,013820,020,
481,013857,010,
482,013857,020,
483,013858,020,
484,013858,030,
485,013894,010,
486,013897,010,
487,013899,040,
488,013899,041,
489,013899,010,
490,013902,010,
491,013902,020,
492,013912,010,
493,013912,020,
494,013915,010,
495,013915,011,
496,013916,010,
497,013916,040,
498,013965,010,
499,013965,020,
500,013974,010,
501,014008,010,
502,014024,020,
503,014024,030,
504,014028,010,
505,014028,020,
506,014033,010,
507,014036,010,
508,014036,040,
509,014043,010,
510,014043,020,
511,014063,010,
512,014063,020,
513,014069,010,
514,014069,020,
515,014072,010,
516,014072,040,
517,014080,020,
518,014080,030,
519,014081,010,
520,014081,040,
521,014085,010,
522,014092,010,
523,014092,040,
524,014098,010,
525,014104,010,
526,014104,020,
527,014115,020,
528,014136,010,
529,014136,040,
530,014137,010,
531,014137,020,
532,014147,010,
533,014147,040,
534,014149,020,
535,014149,030,
536,014157,010,
537,014157,040,
538,014159,030,
539,014167,010,
540,014167,040,
541,014179,010,
542,014179,040,
543,014188,020,
544,014188,030,
545,014199,020,
546,014202,010,
547,014212,010,
548,014212,020,
549,014214,010,
550,014215,030,
551,014223,010,
552,014224,010,
553,014224,020,
554,014234,010,
555,014234,041,
556,014234,011,
557,014244,020,
558,014244,030,
559,014247,010,
560,014247,040,
561,014251,010,
562,014252,010,
563,014259,020,
564,014259,030,
565,014270,010,
566,014270,040,
567,014272,010,
568,014272,011,
569,014275,010,
570,014307,010,
571,014332,010,
572,014332,011,
573,014341,010,
574,014349,010,
575,014349,040,
576,014359,010,
577,014359,020,
578,014397,010,
579,014397,020,
580,014411,010,
581,014420,010,
582,014420,020,
583,014427,010,
584,014428,010,
585,014430,010,
586,014430,020,
587,014433,010,
588,014433,020,
589,014434,020,
590,014434,030,
591,014436,020,
592,014436,021,1.0
593,014449,010,
594,014449,040,
595,014455,011,
596,014456,010,
597,014456,020,
598,014458,030,
599,014458,031,
600,014535,010,
601,014535,011,
602,014553,010,
603,014568,010,
604,014568,020,
605,014587,010,
606,014587,011,
607,014605,010,
608,014605,040,
609,014617,010,
610,014617,020,
611,014619,020,
612,014619,021,
613,014624,010,
614,014624,040,
615,014640,010,
616,014655,030,
617,014670,010,
618,014674,010,
619,014681,010,
620,014681,040,
621,014701,010,
622,014711,010,
623,014711,011,
624,014711,012,
625,014726,010,
626,014726,040,
627,014736,010,
628,014746,010,
629,014748,020,
630,014754,010,
631,014754,040,
632,014756,010,
633,014756,040,
634,014758,020,
635,014758,030,
636,014782,010,
637,014787,010,
638,014830,010,
639,014830,020,
640,014844,010,
641,014852,020,
642,014869,010,
643,014869,020,
644,014872,010,
645,014872,020,
646,014955,010,
647,014955,040,
648,014959,010,
649,014959,020,
650,014996,010,
651,015000,010,
652,015000,011,
653,015015,020,
654,015023,010,
655,015023,040,
656,015048,010,
657,015056,020,
658,015056,030,
659,015080,040,
660,015129,010,
661,015140,010,
662,015140,040,
663,015148,010,
664,015159,010,
665,015172,010,
666,015172,020,
667,015189,010,
668,015189,040,
669,015195,010,
670,015204,010,
671,015204,020,
672,015209,010,
673,015216,010,
674,015225,010,
675,015225,020,
676,015230,010,
677,015230,020,
678,015236,010,
679,015236,040,
680,015257,010,
681,015268,020,
682,015293,010,
683,015294,010,
684,015304,020,
685,015304,030,
686,015332,040,
687,015339,010,
688,015341,040,
689,015344,010,
690,015344,020,
691,015346,020,
692,015346,030,
693,015372,010,
694,015419,010,
695,015429,010,
696,015436,010,
697,015436,020,
698,015440,010,
699,015440,040,
700,015445,010,
701,015445,040,
702,015447,010,
703,015447,020,
704,015469,010,
705,015497,010,
706,015497,040,
707,015511,010,
708,015511,040,
709,015514,020,
710,015514,030,
711,015516,010,
712,015516,020,
713,015536,010,
714,015536,011,
715,015537,010,
716,015543,010,
717,015543,020,
718,015551,010,
719,015551,020,
720,015560,040,
721,015570,040,
722,015588,040,
723,015591,010,
724,015591,020,
725,015593,020,
726,015593,030,
727,015618,010,
728,015625,010,
729,015625,020,
730,015636,010,
731,015648,020,
732,015648,030,
733,015657,010,
734,015658,010,
735,015676,010,
736,015676,040,
737,015698,010,
738,015698,040,
739,015708,010,
740,015709,020,
741,015709,030,
742,015726,010,
743,015726,040,
744,015730,030,
745,015734,040,
746,015739,010,
747,015739,040,
748,015752,010,
749,015752,020,
750,015758,010,
751,015776,010,
752,015776,020,
753,015779,010,
754,015779,040,
755,015781,010,
756,015784,010,
757,015784,020,
758,015793,010,
759,015801,040,
760,015833,010,
761,015833,020,
762,015834,010,
763,015834,011,
764,015836,010,
765,015836,020,
766,015840,020,
767,015883,010,
768,015883,011,
769,015889,010,
770,015889,020,
771,015893,010,
772,015893,020,
773,015897,020,
774,015911,010,
775,015911,021,
776,015911,022,
777,015935,011,
778,015960,010,
779,015972,010,
780,015981,010,
781,015981,040,
782,015982,010,
783,015982,020,
784,015983,010,
785,015986,010,
786,015986,040,
787,015991,040,
788,015992,020,
789,015992,030,
790,015995,010,
791,015995,020,
792,016013,010,
793,016015,010,
794,016022,010,
795,016022,040,
796,016024,010,
797,016024,020,
798,016035,010,
799,016035,040,
800,016036,010,
801,016036,040,
802,016042,010,
803,016042,011,
804,016048,010,
805,016048,020,
806,016054,020,
807,016062,010,
808,016062,040,
809,016064,010,
810,016064,040,
811,016086,010,
812,016086,020,
813,016107,010,
814,016116,010,
815,016116,020,
816,016119,020,
817,016142,010,
818,016161,020,
819,016162,010,
820,016162,040,
821,016174,010,
822,016174,040,
823,016190,010,
824,016197,010,
825,016197,020,
826,016211,010,
827,016220,010,
828,016221,010,
829,016233,010,
830,016233,020,
831,016237,030,
832,016245,010,
833,016245,040,
834,016246,020,
835,016246,030,
836,016247,030,
837,016250,010,
838,016250,020,
839,016306,010,
840,016331,010,
841,016331,011,
842,016367,011,
843,016376,020,
844,016381,010,
845,016381,040,
846,016400,010,
847,016404,010,
848,016404,020,
849,016407,010,
850,016407,011,
851,016412,010,
852,016412,020,
853,016415,010,
854,016415,040,
855,016420,010,
856,016420,020,
857,016430,010,
858,016433,010,
859,016433,020,
860,016437,010,
861,016437,020,
862,016439,020,
863,016439,030,
864,016444,010,
865,016444,040,
866,016449,020,
867,016449,030,
868,016454,020,
869,016459,010,
870,016460,010,
871,016468,010,
872,016468,040,
873,016471,010,
874,016475,010,
875,016478,010,
876,016484,020,
877,016484,030,
878,016491,010,
879,016496,010,
880,016500,010,
881,016500,020,
882,016517,010,
883,016526,010,
884,016526,020,
885,016528,030,
886,016528,040,
887,016541,010,
888,016541,011,
889,016558,010,
890,016558,020,
891,016566,010,
892,016566,020,
893,016570,010,
894,016599,010,
895,016602,010,
896,016602,020,
897,016606,010,
898,016612,010,
899,016619,020,
900,016631,010,
901,016631,020,
902,016648,010,
903,016648,020,
904,016650,020,
905,016650,030,
906,016659,010,
907,016659,040,
908,016660,010,
909,016663,010,
910,016672,010,
911,016672,020,
912,016681,010,
913,016698,010,
914,016700,020,
915,016704,020,
916,016705,010,
917,016705,020,
918,016706,010,
919,016706,020,
920,016710,010,
921,016711,010,
922,016715,030,
923,016715,040,
924,016747,010,
925,016747,020,
926,016761,010,
927,016770,010,
928,016789,010,
929,016789,020,
930,016799,010,
931,016799,040,
932,016810,010,
933,016810,011,
934,016822,010,
935,016822,020,
936,016827,010,
937,016827,040,
938,016841,010,
939,016848,010,
940,016848,040,
941,016851,010,
942,016855,020,
943,016855,030,
944,016856,010,
945,016856,040,
946,016870,010,
947,016870,011,
948,016873,020,
949,016873,030,
950,016904,010,
951,016904,011,
952,016925,010,
953,016925,040,
954,016931,020,
955,016931,030,
956,016933,030,
957,016935,010,
958,016935,011,1.0
959,016954,010,
960,016956,010,
961,016973,020,
962,016973,030,
963,016973,032,
964,016973,031,
965,016975,010,
966,016975,040,
967,016989,010,
968,016989,020,
969,016994,040,
970,016996,010,
971,016996,020,
972,017003,010,
973,017003,040,
974,017027,040,
975,017028,010,
976,017031,010,
977,017031,020,
978,017038,030,
979,017041,010,
980,017042,010,
981,017042,020,
982,017049,010,
983,017049,020,
984,017050,020,
985,017050,030,
986,017061,010,
987,017075,010,
988,017075,020,
989,017077,040,
990,017093,040,
991,017107,010,
992,017134,011,
993,017136,010,
994,017136,020,
995,017175,010,
996,017184,010,
997,017199,010,
998,017201,020,
999,017202,010,
1000,017209,010,
1001,017209,011,
1002,017234,010,
1003,017234,040,
1004,017237,010,
1005,017237,020,
1006,017239,010,
1007,017239,020,
1008,017241,010,
1009,017241,011,
1010,017253,010,
1011,017253,020,
1012,017277,010,
1013,017277,040,
1014,017279,010,
1015,017279,040,
1016,017282,020,
1017,017282,030,
1018,017303,010,
1019,017319,010,
1020,017328,040,
1021,017356,010,
1022,017356,020,
1023,017363,010,
1024,017366,010,
1025,017366,020,
1026,017371,010,
1027,017383,010,
1028,017383,011,6.0
1029,017388,010,
1030,017389,010,
1031,017392,010,
1032,017392,040,
1033,017425,010,
1034,017425,040,
1035,017428,010,
1036,017458,010,
1037,017459,010,
1038,017468,010,
1039,017473,010,
1040,017480,010,
1041,017491,010,
1042,017491,020,
1043,017492,010,
1044,017492,040,
1045,017506,020,
1046,017520,010,
1047,017520,011,6.0
1048,017521,010,
1049,017521,020,
1050,017526,010,
1051,017527,010,
1052,017527,020,
1053,017547,010,
1054,017547,020,
1055,017588,010,
1056,017602,010,
1057,017623,010,
1058,017623,020,
1059,017626,010,
1060,017626,011,
