,HHID,PN,value
267,11826,10,-1.0
268,11828,10,-1.0
269,11830,10,-1.0
270,11830,40,-1.0
271,11835,10,-1.0
272,11835,20,-1.0
273,11841,10,-1.0
274,11841,40,-1.0
275,11854,10,-1.0
276,11854,20,-1.0
277,11856,10,-1.0
278,11859,10,-1.0
279,11862,20,-1.0
280,11862,30,-1.0
281,11863,10,-1.0
282,11876,10,-1.0
283,11876,40,-1.0
284,11878,10,-1.0
285,11878,40,-1.0
286,11881,10,-1.0
287,11893,10,-1.0
288,11902,20,-1.0
289,11902,30,-1.0
290,11907,10,-1.0
291,11907,20,-1.0
292,11911,10,-1.0
293,11911,40,-1.0
294,11927,10,-1.0
295,11929,20,-1.0
296,11930,10,-1.0
297,11930,40,-1.0
298,11932,20,-1.0
299,11932,30,-1.0
300,11933,10,-1.0
301,11933,40,-1.0
302,11936,10,-1.0
303,11936,20,-1.0
304,11937,10,-1.0
305,11948,30,-1.0
306,11956,10,-1.0
307,11956,40,-1.0
308,11959,10,-1.0
309,11959,20,-1.0
310,11983,10,-1.0
311,11983,40,-1.0
312,11989,10,-1.0
313,11993,10,-1.0
314,11993,20,-1.0
315,11999,10,-1.0
316,11999,20,-1.0
317,12005,10,-1.0
318,12005,40,-1.0
319,12007,10,-1.0
320,12009,10,-1.0
321,12009,40,-1.0
322,12010,10,-1.0
323,12010,20,-1.0
324,12023,10,-1.0
325,12025,10,-1.0
326,12033,10,-1.0
327,12045,10,-1.0
328,12045,20,-1.0
329,12052,10,-1.0
330,12054,10,-1.0
331,12054,20,-1.0
332,12068,10,-1.0
333,12068,20,-1.0
334,12094,10,-1.0
335,12094,40,-1.0
336,12104,10,-1.0
337,12104,20,-1.0
338,12106,10,-1.0
339,12108,10,-1.0
340,12112,20,-1.0
341,12112,30,-1.0
342,12118,20,-1.0
343,12118,30,-1.0
344,12124,20,-1.0
345,12124,30,-1.0
346,12135,20,-1.0
347,12135,30,-1.0
348,12139,10,-1.0
349,12139,40,-1.0
350,12140,10,-1.0
351,12145,10,-1.0
352,12145,20,-1.0
353,12156,10,-1.0
354,12156,40,-1.0
355,12161,10,-1.0
356,12161,20,-1.0
357,12162,10,-1.0
358,12166,10,-1.0
359,12166,40,-1.0
360,12172,10,-1.0
361,12172,20,-1.0
362,12174,10,-1.0
363,12174,40,-1.0
364,12178,10,-1.0
365,12179,10,1.0
366,12183,10,-1.0
367,12195,10,-1.0
368,12196,10,-1.0
369,12196,20,-1.0
370,12218,10,-1.0
371,12218,20,-1.0
372,12223,20,-1.0
373,12223,30,-1.0
374,12232,10,-1.0
375,12232,40,-1.0
376,12235,10,-1.0
377,12235,40,-1.0
378,12242,10,-1.0
379,12242,20,-1.0
380,12243,20,-1.0
381,12243,30,-1.0
382,12252,10,-1.0
383,12252,20,-1.0
384,12257,10,-1.0
385,12257,40,-1.0
386,12273,10,-1.0
387,12273,40,-1.0
388,12274,10,-1.0
389,12274,20,-1.0
390,12276,20,-1.0
391,12276,30,-1.0
392,12278,30,-1.0
393,12280,20,-1.0
394,12280,30,-1.0
395,12285,10,-1.0
396,12292,10,-1.0
397,12292,20,-1.0
398,12302,10,1.0
399,12306,10,-1.0
400,12310,10,-1.0
401,12315,10,-1.0
402,12315,40,-1.0
403,12318,10,-1.0
404,12319,10,-1.0
405,12323,10,-1.0
406,12332,30,-1.0
407,12344,10,-1.0
408,12344,20,-1.0
409,12345,20,-1.0
410,12345,30,-1.0
411,12393,20,-1.0
412,12393,30,-1.0
413,12394,10,-1.0
414,12398,10,1.0
415,12401,10,-1.0
416,12401,40,-1.0
417,12405,10,-1.0
418,12417,10,1.0
419,12418,20,-1.0
420,12418,30,-1.0
421,12424,10,-1.0
422,12443,10,-1.0
423,12443,40,-1.0
424,12445,10,-1.0
425,12445,40,-1.0
426,12455,10,-1.0
427,12458,10,-1.0
428,12458,20,-1.0
429,12474,10,-1.0
430,12474,40,-1.0
431,12479,10,-1.0
432,12481,10,-1.0
433,12483,10,-1.0
434,12484,10,-1.0
435,12484,20,-1.0
436,12488,10,-1.0
437,12494,10,-1.0
438,12494,40,-1.0
439,12496,10,-1.0
440,12502,10,-1.0
441,12502,20,-1.0
442,12507,10,-1.0
443,12510,10,-1.0
444,12510,20,-1.0
445,12512,10,-1.0
446,12512,20,-1.0
447,12513,10,-1.0
448,12513,20,-1.0
449,12514,10,-1.0
450,12514,40,-1.0
451,12516,10,-1.0
452,12516,40,-1.0
453,12517,10,-1.0
454,12517,40,-1.0
455,12520,10,-1.0
456,12520,40,-1.0
457,12529,20,-1.0
458,12529,30,-1.0
459,12532,10,-1.0
460,12543,10,1.0
461,12549,10,-1.0
462,12549,40,-1.0
463,12552,10,-1.0
464,12552,20,-1.0
465,12553,10,-1.0
466,12562,10,-1.0
467,12571,10,-1.0
468,12571,20,-1.0
469,12573,10,-1.0
470,12574,10,-1.0
471,12574,20,-1.0
472,12576,10,-1.0
473,12586,10,-1.0
474,12586,20,-1.0
475,12588,10,-1.0
476,12588,20,-1.0
477,12596,10,-1.0
478,12605,10,-1.0
479,12605,40,-1.0
480,12611,20,-1.0
481,12629,10,-1.0
482,12629,40,-1.0
483,12648,10,-1.0
484,12651,10,-1.0
485,12653,10,-1.0
486,12666,10,-1.0
487,12667,10,-1.0
488,12671,10,-1.0
489,12682,10,-1.0
490,12690,10,1.0
491,12695,20,-1.0
492,12695,30,-1.0
493,12706,10,-1.0
494,12709,20,-1.0
495,12715,20,-1.0
496,12715,30,-1.0
497,12736,10,-1.0
498,12738,10,-1.0
499,12738,20,-1.0
500,12743,10,-1.0
