,hhid,pn,h9atotw
0,000001,010,
1,000002,010,
2,000003,010,-0.5529472957381698
3,000003,020,-0.5529472957381698
4,010001,010,-1.0145171445933916
5,010003,020,
6,010003,030,
7,010004,010,-1.089633123307851
8,010004,040,-1.089633123307851
9,010013,010,
10,010013,040,-0.8207870767302868
11,010038,010,-1.0515494924398363
12,010038,040,-1.0515494924398363
13,010050,010,-0.6828756174148126
14,010059,020,-2.247933591025446
15,010059,030,-2.247933591025446
16,010063,010,
17,010075,020,
18,010075,030,
19,010083,010,
20,010083,020,
21,010090,010,
22,010094,010,
23,010097,010,
24,010097,040,-0.9021714073637771
25,010099,010,
26,010106,010,
27,010106,020,
28,010109,020,
29,010109,030,-1.2366111776064037
30,010114,010,
31,010124,010,
32,010124,011,
33,010147,010,
34,010155,010,
35,010196,010,
36,010206,010,
37,010210,010,
38,010210,020,
39,010217,010,
40,010225,010,2.1677204594793293
41,010237,020,
42,010237,030,
43,010240,010,
44,010257,010,
45,010281,010,
46,010281,020,
47,010299,010,0.4568880029369117
48,010299,011,0.32568920538580565
49,010299,012,0.4568880029369117
50,010325,010,
51,010325,020,
52,010346,010,
53,010372,010,
54,010378,010,
55,010394,010,-0.7819762616348005
56,010394,040,-0.7819762616348005
57,010395,010,-1.7205248677329903
58,010395,020,-1.7205248677329903
59,010397,010,-1.1786998127157393
60,010397,040,-1.1786998127157393
61,010404,010,-0.8672073392967303
62,010405,010,
63,010405,040,
64,010410,010,
65,010414,020,
66,010414,030,
67,010433,010,-0.14769596254818676
68,010433,040,
69,010451,010,-0.23686361885160018
70,010451,020,-0.23686361885160018
71,010453,010,-0.6772013434677477
72,010453,020,-0.6772013434677477
73,010458,020,
74,010458,030,
75,010460,010,
76,010465,010,
77,010465,020,
78,010468,010,
79,010468,020,
80,010475,010,-0.7248800006653108
81,010475,011,-0.7248800006653108
82,010477,010,-0.8655818807526456
83,010477,020,-0.8655818807526456
84,010481,010,-0.20303619419837407
