,HHID,PN,value
345,12744,11,1
346,12745,10,1
347,12745,20,1
348,12756,10,1
349,12756,11,1
350,12761,40,-1
351,12762,10,1
352,12762,20,1
353,12765,10,1
354,12786,10,-1
355,12792,10,1
356,12799,20,1
357,12799,30,1
358,12821,10,-1
359,12852,30,-1
360,12854,10,-1
361,12864,20,1
362,12887,10,1
363,12909,20,-1
364,12920,10,1
365,12948,10,1
366,12964,10,1
367,12964,40,-1
368,12967,10,-1
369,12979,10,1
370,12979,20,1
371,12981,30,1
372,12987,10,1
373,12987,20,1
374,13054,40,1
375,13062,10,1
376,13063,10,1
377,13137,20,-1
378,13137,21,1
379,13140,10,-1
380,13140,40,-1
381,13142,10,1
382,13142,20,1
383,13158,10,-1
384,13176,20,1
385,13189,20,1
386,13189,30,1
387,13194,10,1
388,13208,10,1
389,13208,40,-1
390,13211,10,-1
391,13211,20,1
392,13212,10,-1
393,13216,10,1
394,13231,10,1
395,13231,20,-1
396,13238,10,1
397,13242,10,1
398,13257,10,1
399,13286,10,1
400,13286,20,1
401,13296,10,1
402,13305,30,1
403,13317,10,1
404,13317,40,1
405,13318,10,1
406,13318,20,-1
407,13344,10,1
408,13344,40,1
409,13371,10,1
410,13371,12,-1
411,13376,10,1
412,13376,20,1
413,13387,40,1
414,13390,20,1
415,13390,21,1
416,13392,20,1
417,13399,10,1
418,13418,10,1
419,13433,30,1
420,13465,10,1
421,13465,40,1
422,13518,40,1
423,13527,20,-1
424,13527,10,1
425,13547,10,1
426,13547,20,-1
427,13552,20,1
428,13552,30,-1
429,13560,10,1
430,13561,10,1
431,13561,20,1
432,13573,10,1
433,13573,20,1
434,13583,20,1
435,13583,30,1
436,13590,30,-1
437,13590,40,1
438,13595,11,1
439,13598,10,1
440,13598,20,1
441,13600,10,1
442,13600,20,1
443,13601,40,1
444,13602,20,-1
445,13602,30,-1
446,13612,10,-1
447,13631,10,1
448,13635,10,-1
449,13635,20,-1
450,13637,10,1
451,13637,40,-1
452,13656,40,1
453,13671,10,1
454,13671,20,1
455,13699,10,1
456,13699,40,-1
457,13734,10,-1
458,13734,20,-1
459,13738,10,1
460,13738,20,1
461,13753,10,1
462,13753,20,1
463,13757,30,1
464,13772,20,1
465,13772,30,1
466,13784,10,-1
467,13784,40,-1
468,13802,20,-1
469,13813,10,1
470,13814,10,-1
471,13814,40,1
472,13815,10,-1
473,13816,10,-1
474,13816,40,1
475,13817,10,1
476,13817,11,1
477,13817,40,-1
478,13817,41,1
479,13820,10,-1
480,13820,20,-1
481,13857,10,1
482,13857,20,-1
483,13858,20,-1
484,13858,30,1
485,13894,10,-1
486,13897,10,1
487,13899,40,-1
488,13899,41,-1
489,13899,10,-1
490,13902,10,1
491,13902,20,1
492,13912,10,-1
493,13912,20,1
494,13915,10,-1
495,13915,11,-1
496,13916,10,1
497,13916,40,1
498,13965,10,1
499,13965,20,1
500,13974,10,1
501,14008,10,1
502,14024,20,1
503,14024,30,1
504,14028,10,-1
505,14028,20,-1
506,14033,10,1
507,14036,10,1
508,14036,40,1
509,14043,10,-1
510,14043,20,1
511,14063,10,1
512,14063,20,-1
513,14069,10,1
514,14069,20,1
515,14072,10,-1
516,14072,40,1
517,14080,20,1
518,14080,30,1
519,14081,10,1
520,14081,40,1
521,14085,10,1
522,14092,10,1
523,14092,40,-1
