,HHID,PN,HB027,JB027,KB027,LB027
286,12310,11,,,,
287,12315,10,,,,
288,12315,40,,,,
289,12318,10,,,,
290,12319,10,,,,
291,12323,10,,,,
292,12344,10,,,,
293,12344,20,,,,
294,12345,20,,,,
295,12393,20,,,,
296,12393,30,,,,
297,12394,10,,,,
298,12401,40,,,,
299,12417,10,,,,
300,12418,20,,,,
301,12418,30,,,,
302,12443,10,,,,
303,12443,40,,,,
304,12445,10,,,,
305,12445,40,,,,
306,12455,10,,,,
307,12458,20,,,,
308,12474,40,,,,
309,12479,10,,,,
310,12481,10,,,,
311,12481,11,,,,
312,12484,10,,,,
313,12484,20,,,,
314,12494,10,,,,
315,12494,40,,,,
316,12502,10,,,,
317,12502,11,,,,
318,12507,10,,,,
319,12510,10,,,,
320,12510,20,,,,
321,12512,10,,,,
322,12512,20,,,,
323,12513,10,,,,
324,12513,20,,,,
325,12514,10,,,,
326,12514,40,,,,
327,12516,10,,,,
328,12516,40,,,,
329,12520,40,,,,
330,12529,20,,,,
331,12529,30,,,,
332,12543,10,,,,
333,12549,10,,,,
334,12549,11,0.552762552,,,
335,12549,40,,,,
336,12552,10,,,,
337,12552,20,,,,
338,12553,10,,,,
339,12562,10,,,,
340,12562,11,,,,
341,12571,20,,,,
342,12573,10,,,,
343,12574,10,,,,
344,12574,20,,,,
345,12586,10,,,,
346,12586,20,,,,
347,12588,10,,,,
348,12588,20,,,,
349,12596,10,,,,
350,12596,40,,,,
351,12605,10,,,,
352,12605,40,,,,
353,12605,41,,,,
354,12611,10,,,,
355,12611,20,,,,
356,12629,40,,,,
357,12629,10,,,,
358,12629,11,,,,
359,12648,10,,,,
360,12648,40,,,,
361,12653,10,3.096301514,,,
362,12653,40,3.096301514,,,
363,12666,10,,,,
364,12671,10,,,,
365,12690,10,,,,
366,12695,20,,,,
367,12695,30,,,,
368,12709,10,,,,
369,12709,20,,,,
370,12715,20,,,,
371,12715,30,,,,
372,12738,10,,,,
373,12738,20,,,,
374,12743,10,,,,
375,12744,10,,,,
376,12744,20,,,,
377,12745,10,,,,
378,12745,20,,,,
379,12756,10,,,,
380,12756,11,,,,
381,12761,40,,,,
382,12762,10,,,,
383,12762,20,,,,
384,12765,10,,,,
385,12765,20,,,,
386,12786,10,,,,
387,12792,10,,,,
388,12799,20,,,,
389,12799,30,,,,
390,12804,10,-0.719006929,,,
391,12821,10,,,,
392,12852,20,,,,
393,12852,30,,,,
394,12854,10,,,,
395,12864,20,,,,
396,12887,10,,,,
397,12909,20,,,,
398,12920,10,,,,
399,12922,10,,,,
400,12922,40,,,,
401,12948,10,,,,
402,12964,10,,,,
403,12964,40,,,,
404,12967,10,,,,
405,12974,10,,,,
406,12974,20,,,,
407,12979,10,,,,
408,12979,20,,,,
409,12981,30,,,,
410,12985,40,,,,
411,12987,10,,,,
412,12987,20,,,,
413,13054,40,,,,
414,13062,10,,,,
415,13063,10,,,,
416,13137,20,,,,
417,13137,21,,,,
418,13140,10,,,,
419,13140,40,,,,
420,13142,10,,,,
421,13142,20,,,,
422,13158,10,,,,
423,13176,10,,,,
424,13176,20,,,,
425,13189,20,,,,
426,13189,30,,,,
427,13193,40,,,,
428,13194,10,,,,
429,13194,11,,,,
430,13208,10,,,,
431,13208,40,,,,
432,13211,10,,,,
433,13211,20,,,,
434,13212,10,,,,
435,13216,10,,,,
436,13231,10,,,,
437,13231,20,,,,
438,13238,10,,,,
439,13238,40,,,,
440,13242,10,,,,
441,13257,10,,,,
442,13286,10,,,,
443,13286,20,,,,
444,13296,10,,,,
445,13305,20,,,,
446,13305,30,,,,
447,13317,10,,,,
448,13317,40,,,,
449,13318,10,,,,
450,13318,20,,,,
451,13344,10,,,,
452,13344,40,,,,
453,13371,10,,,,
454,13376,10,,,,
455,13376,20,,,,
456,13387,40,3.096301514,,,
457,13390,20,-0.719006929,,,
458,13390,21,,,,
459,13392,20,,,,
460,13392,30,,,,
461,13399,10,,,,
462,13418,20,,,,
463,13426,10,,,,
464,13433,30,,,,
465,13465,10,,,,
466,13465,40,,,,
467,13518,40,,,,
468,13518,10,,,,
469,13527,20,,,,
470,13527,10,0.552762552,,-0.871032973,
471,13547,10,,,,
472,13547,20,,,,
473,13552,20,,,,
474,13552,30,,,,
475,13561,10,,,,
476,13561,20,,,,
477,13573,10,,,,
478,13573,20,,,,
479,13583,20,,,,
480,13583,30,,,,
481,13590,30,,,,
482,13590,40,,,,
483,13595,11,,,,
484,13598,10,,,,
485,13598,20,,,,
486,13600,10,,,,
487,13600,20,,,,
488,13601,40,,,,
489,13612,10,,,,
490,13631,10,,,,
491,13631,20,,,,
492,13635,10,,,,
493,13635,20,,,,
494,13637,10,,,,
495,13637,40,,,,
496,13656,10,,,,
497,13656,40,,,,
498,13671,10,,,,
499,13671,20,,,,
500,13678,10,,,,
501,13678,40,,,,
502,13699,10,,,,
503,13699,40,,,,
504,13706,10,,,,
505,13734,10,,,,
506,13734,20,,,,
507,13738,10,,,,
508,13738,20,,,,
509,13753,10,,,,
510,13753,20,,,,
511,13757,20,,,,
512,13757,30,,,,
513,13772,20,,,,
514,13772,30,,,,
515,13784,10,,,,
516,13784,40,,,,
517,13794,20,,,,
518,13802,20,,,,
