,HHID,E4588_y,F5348,G5735,HQ400,JQ400,KQ400,LQ400
87,010013,1.0,-1.0,1.0,-1.0,-1.0,-1.0,
88,010013,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
89,010013,1.0,-1.0,1.0,-1.0,1.0,-1.0,
90,010013,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
91,010013,1.0,-1.0,1.0,-1.0,1.0,-1.0,
92,010013,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
93,010013,1.0,-1.0,1.0,1.0,-1.0,-1.0,
94,010013,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
95,010013,1.0,-1.0,1.0,1.0,-1.0,-1.0,
96,010013,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
97,010013,1.0,-1.0,1.0,1.0,1.0,-1.0,
98,010013,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
99,010013,1.0,-1.0,1.0,1.0,1.0,-1.0,
100,010013,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
101,010013,1.0,1.0,-1.0,-1.0,-1.0,-1.0,
102,010013,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
103,010013,1.0,1.0,-1.0,-1.0,-1.0,-1.0,
104,010013,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
105,010013,1.0,1.0,-1.0,-1.0,1.0,-1.0,
106,010013,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0
107,010013,1.0,1.0,-1.0,-1.0,1.0,-1.0,
108,010013,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0
109,010013,1.0,1.0,-1.0,1.0,-1.0,-1.0,
110,010013,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
111,010013,1.0,1.0,-1.0,1.0,-1.0,-1.0,
112,010013,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
113,010013,1.0,1.0,-1.0,1.0,1.0,-1.0,
114,010013,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
115,010013,1.0,1.0,-1.0,1.0,1.0,-1.0,
116,010013,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
117,010013,1.0,1.0,1.0,-1.0,-1.0,-1.0,
118,010013,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
119,010013,1.0,1.0,1.0,-1.0,-1.0,-1.0,
120,010013,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
121,010013,1.0,1.0,1.0,-1.0,1.0,-1.0,
122,010013,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
123,010013,1.0,1.0,1.0,-1.0,1.0,-1.0,
124,010013,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
125,010013,1.0,1.0,1.0,1.0,-1.0,-1.0,
126,010013,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
127,010013,1.0,1.0,1.0,1.0,-1.0,-1.0,
128,010013,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
129,010013,1.0,1.0,1.0,1.0,1.0,-1.0,
130,010013,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
131,010013,1.0,1.0,1.0,1.0,1.0,-1.0,
132,010013,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
133,010013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
134,010013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
135,010013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
136,010013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
137,010013,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,
138,010013,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
139,010013,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,
140,010013,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
141,010013,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,
142,010013,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
143,010013,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,
144,010013,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
145,010013,-1.0,-1.0,-1.0,1.0,1.0,-1.0,
146,010013,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0
147,010013,-1.0,-1.0,-1.0,1.0,1.0,-1.0,
148,010013,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0
149,010013,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,
150,010013,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
151,010013,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,
152,010013,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
153,010013,-1.0,-1.0,1.0,-1.0,1.0,-1.0,
154,010013,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
155,010013,-1.0,-1.0,1.0,-1.0,1.0,-1.0,
156,010013,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
157,010013,-1.0,-1.0,1.0,1.0,-1.0,-1.0,
