,HHID,PN,V47_x,V47_y,W103,E374,F686,G757,HX060_R,JX060_R,KX060_R,LX060_R
4509,037359,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4510,037359,040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4511,037361,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4512,037364,010,1.0,1.0,1.0,1.0,1.0,1.0,,,,
4513,037364,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
4514,037373,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4515,037373,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4516,037382,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4517,037404,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4518,037414,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4519,037414,040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
4520,037415,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
4521,037415,020,1.0,1.0,1.0,1.0,1.0,1.0,,,,
4522,037417,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4523,037417,020,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4524,037426,010,-1.0,-1.0,-1.0,,,,,,,
4525,037426,020,1.0,1.0,1.0,,,,,,,
4526,037428,010,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0
4527,037428,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4528,037431,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4529,037431,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
4530,037435,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
4531,037477,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
4532,037477,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4533,037478,020,1.0,1.0,1.0,,1.0,1.0,,,,
4534,037478,030,-1.0,-1.0,-1.0,,-1.0,-1.0,,,,
4535,037490,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4536,037490,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4537,037491,010,1.0,1.0,1.0,1.0,,,,,,
4538,037496,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4539,037502,010,1.0,1.0,1.0,,,,,,,
4540,037503,020,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0
4541,037503,030,1.0,1.0,1.0,1.0,,,,,,
4542,037506,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4543,037515,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4544,037515,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4545,037530,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4546,037530,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4547,037534,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
4548,037541,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4549,037541,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4550,037545,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4551,037546,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4552,037546,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4553,037547,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4554,037547,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4555,037550,010,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
4556,037550,020,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,-1.0
4557,037594,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4558,037594,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4559,037597,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0
4560,037597,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4561,037601,010,-1.0,-1.0,-1.0,,,,,,,
4562,037602,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0
4563,037602,030,1.0,1.0,1.0,1.0,1.0,1.0,,,,
4564,037605,010,1.0,1.0,1.0,,,,,,,
4565,037605,040,-1.0,-1.0,-1.0,,,,,,,
4566,037606,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4567,037607,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
4568,037607,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4569,037618,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4570,037618,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4571,037636,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4572,037640,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4573,037640,040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4574,037703,010,-1.0,-1.0,-1.0,,,,,,,
4575,037709,010,1.0,1.0,1.0,,,,,,,
4576,037709,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0
4577,037732,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4578,037735,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4579,037735,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
4580,037751,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-1.0
4581,037751,020,1.0,1.0,1.0,,,,,,,
4582,037761,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4583,037761,040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4584,037767,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4585,037767,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4586,037776,010,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
4587,037776,020,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0
4588,037777,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4589,037777,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
4590,037803,020,-1.0,-1.0,-1.0,,,,,,,
4591,037807,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4592,037807,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4593,037817,030,1.0,1.0,1.0,,,,,,,
4594,037835,010,1.0,1.0,1.0,,1.0,,,,,
4595,037835,040,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0
4596,037836,010,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0
4597,037842,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4598,037844,010,1.0,1.0,1.0,1.0,1.0,,,,,
4599,037848,010,1.0,1.0,1.0,1.0,1.0,1.0,,,,
4600,037862,010,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,
4601,037865,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4602,037865,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4603,037871,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4604,037871,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4605,037878,010,1.0,1.0,1.0,1.0,1.0,1.0,,,,
4606,037878,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4607,037880,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
4608,037880,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
4609,037893,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
4610,037893,040,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0
4611,037900,010,1.0,1.0,1.0,,,,,,,
4612,037904,010,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
4613,037907,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4614,037908,010,1.0,1.0,1.0,,,,,,,
4615,037908,020,-1.0,-1.0,-1.0,,,,,,,
4616,037911,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4617,037916,010,-1.0,-1.0,-1.0,,,,,,,
4618,037918,040,-1.0,-1.0,-1.0,,,-1.0,-1.0,,-1.0,-1.0
4619,037921,020,-1.0,-1.0,-1.0,,,,,,,
4620,037933,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
4621,037941,020,-1.0,-1.0,-1.0,,,,,,,
4622,037941,030,1.0,1.0,1.0,,1.0,1.0,,,,
4623,037942,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4624,037942,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4625,037948,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4626,037948,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4627,037949,010,1.0,1.0,1.0,,,,,1.0,1.0,1.0
4628,037949,040,-1.0,-1.0,-1.0,,-1.0,,,-1.0,-1.0,-1.0
4629,037955,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4630,037955,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4631,037958,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,
4632,037962,010,-1.0,-1.0,-1.0,,-1.0,-1.0,,,,
4633,037962,020,1.0,1.0,1.0,,1.0,1.0,,,,
4634,037963,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4635,037963,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4636,037964,010,-1.0,-1.0,-1.0,,,,,,,
4637,037964,020,1.0,1.0,1.0,,,,,,,
4638,037976,010,-1.0,-1.0,-1.0,-1.0,,,,,,
4639,037976,040,1.0,1.0,1.0,1.0,,,,,,
4640,037989,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4641,037989,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4642,038009,010,1.0,1.0,1.0,1.0,,,,,,
4643,038009,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4644,038015,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4645,038015,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4646,038017,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4647,038017,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4648,038023,040,-1.0,-1.0,-1.0,,,,,,,
4649,038031,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4650,038031,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4651,038033,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0
4652,038033,030,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
4653,038042,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4654,038042,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4655,038047,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4656,038047,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4657,038050,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4658,038050,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4659,038064,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4660,038089,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4661,038089,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4662,038099,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4663,038099,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4664,038100,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4665,038144,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4666,038144,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4667,038156,010,1.0,1.0,1.0,1.0,1.0,,,,,
4668,038156,020,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
4669,038175,010,1.0,1.0,1.0,,,,1.0,1.0,1.0,
4670,038269,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4671,038269,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4672,038284,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
4673,038292,010,1.0,1.0,1.0,,,,,,,
4674,038292,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4675,038298,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4676,038298,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4677,038308,010,1.0,1.0,1.0,,,,,,,
4678,038308,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4679,038333,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4680,038333,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4681,038383,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4682,038383,020,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,
4683,038394,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4684,038394,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4685,038405,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4686,038405,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
4687,038406,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4688,038406,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4689,038420,030,-1.0,-1.0,-1.0,,,,,,,
4690,038435,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4691,038446,010,-1.0,-1.0,-1.0,,,,,,,
4692,038457,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
4693,038475,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4694,038477,010,1.0,1.0,1.0,1.0,1.0,1.0,,,,
4695,038477,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4696,038478,010,1.0,1.0,1.0,,1.0,1.0,,,,
4697,038496,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4698,038496,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4699,038509,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4700,038509,030,1.0,1.0,1.0,,,,,,,
4701,038510,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4702,038510,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4703,038511,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4704,038516,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4705,038516,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4706,038517,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4707,038520,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4708,038523,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4709,038523,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4710,038524,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4711,038524,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4712,038525,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
4713,038525,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4714,038530,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4715,038530,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4716,038531,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4717,038531,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4718,038532,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
4719,038532,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
4720,038533,010,-1.0,-1.0,-1.0,,,,,,,
4721,038535,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4722,038535,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4723,038538,010,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
4724,038538,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4725,038540,010,-1.0,-1.0,-1.0,,,,,,,
4726,038547,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4727,038547,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4728,038548,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4729,038548,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4730,038571,010,1.0,1.0,1.0,1.0,,,,,,
4731,038571,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0
4732,038577,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4733,038577,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4734,038599,010,1.0,1.0,1.0,,,,,,,
4735,038607,020,-1.0,-1.0,-1.0,-1.0,,,,,,
4736,038615,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4737,038615,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4738,038616,010,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,
4739,038616,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0
4740,038622,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4741,038627,010,1.0,1.0,1.0,,,,,,,
4742,038641,010,1.0,1.0,1.0,,,,,,,
4743,038641,020,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4744,038666,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4745,038666,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
4746,038668,010,1.0,1.0,1.0,1.0,,,,,,
4747,038685,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4748,038685,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4749,038692,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
4750,038698,010,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,-1.0
4751,038698,020,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0
4752,038699,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
4753,038699,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
4754,038705,010,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0
4755,038705,040,-1.0,-1.0,-1.0,-1.0,,,,,,
4756,038707,010,1.0,1.0,1.0,,,,,1.0,1.0,1.0
4757,038709,020,-1.0,-1.0,-1.0,,,,,,,
4758,038709,030,1.0,1.0,1.0,,,,,,,
4759,038717,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4760,038717,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4761,038720,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4762,038720,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4763,038738,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4764,038739,010,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,,
4765,038739,040,1.0,1.0,1.0,1.0,,,,1.0,,
4766,038743,010,1.0,1.0,1.0,1.0,,,,,,
4767,038743,040,-1.0,-1.0,-1.0,-1.0,,,,,,
4768,038751,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4769,038751,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4770,038761,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
4771,038761,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4772,038762,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4773,038762,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4774,038768,010,1.0,1.0,1.0,1.0,1.0,1.0,,,,
4775,038768,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0
4776,038776,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0
4777,038782,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4778,038784,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4779,038785,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
4780,038789,010,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4781,038797,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4782,038806,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
4783,038806,040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
4784,038811,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
4785,038811,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4786,038815,010,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0
4787,038815,020,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0
4788,038862,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
4789,038868,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
4790,038868,040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4791,038873,010,1.0,1.0,1.0,,,,,,,
4792,038873,020,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0
4793,038876,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4794,038876,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4795,038879,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4796,038879,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4797,038887,010,1.0,1.0,1.0,,,,,,,
4798,038887,020,-1.0,-1.0,-1.0,-1.0,,,,,,
4799,038888,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4800,038888,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4801,038892,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4802,038892,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4803,038893,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4804,038893,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4805,038916,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4806,038916,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
