,HHID,PN,V47_x,V47_y,W103,E374,F686,G757,HX060_R,JX060_R,KX060_R,LX060_R
70,010460,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
71,010465,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,
72,010465,020,1.0,1.0,1.0,1.0,1.0,1.0,,,,
73,010468,010,-1.0,-1.0,-1.0,-1.0,,,,,,
74,010475,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
75,010477,010,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
76,010477,020,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0
77,010481,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,010481,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
79,010482,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
80,010533,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
81,010533,020,1.0,1.0,1.0,1.0,,,,,,
82,010537,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0
83,010546,010,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,
84,010556,010,-1.0,-1.0,-1.0,,,,,,,
85,010565,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,010565,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
87,010567,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
88,010568,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
89,010571,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
90,010571,020,1.0,1.0,1.0,1.0,1.0,1.0,,,,
91,010577,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
92,010592,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
93,010600,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
94,010602,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
95,010611,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
96,010644,010,1.0,1.0,1.0,1.0,,,,,,
97,010644,040,-1.0,-1.0,-1.0,,,,,,,
98,010645,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
99,010645,030,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,
100,010646,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
101,010648,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,010648,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
103,010652,010,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0
104,010671,010,1.0,1.0,1.0,1.0,1.0,1.0,,,,
105,010672,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
106,010677,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
107,010689,020,1.0,1.0,1.0,1.0,1.0,,,,,
108,010696,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,-1.0
109,010707,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,010707,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
111,010708,020,1.0,1.0,1.0,,,,,,,
112,010708,030,-1.0,-1.0,-1.0,,,-1.0,,-1.0,,-1.0
113,010719,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
114,010719,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,
115,010740,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
116,010751,010,-1.0,-1.0,-1.0,-1.0,,,,,,
117,010752,010,-1.0,-1.0,-1.0,,,,,,,
118,010756,010,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0
119,010766,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
120,010769,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,010769,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
122,010773,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
123,010773,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,010775,020,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
125,010775,030,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
126,010776,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
127,010781,010,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,,-1.0
128,010818,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,010818,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
130,010821,030,-1.0,-1.0,-1.0,,,,,,,
131,010822,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,010822,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
133,010853,010,1.0,1.0,1.0,,,,,,,
134,010893,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
135,010896,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
136,010902,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137,010917,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
138,010923,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
139,010923,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
140,010926,010,1.0,1.0,1.0,,,1.0,,,,
141,010926,040,-1.0,-1.0,-1.0,,,-1.0,,,,
142,010929,040,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,,
143,010941,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
144,010951,010,1.0,1.0,1.0,,,,,,,
145,010956,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
146,010956,040,1.0,1.0,1.0,,,,,,,
147,010962,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148,010962,040,1.0,1.0,1.0,,,,,,,
149,010989,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,010989,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
151,010990,010,-1.0,-1.0,-1.0,,,,,,,
152,010990,040,1.0,1.0,1.0,,,,,,,
153,010994,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154,011010,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
155,011067,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
156,011067,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
157,011071,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
158,011071,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
159,011074,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
160,011074,030,1.0,1.0,1.0,1.0,,,1.0,1.0,,
161,011141,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
162,011141,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
163,011147,010,-1.0,-1.0,-1.0,-1.0,,,,,,
164,011155,010,-1.0,-1.0,-1.0,,,,,,,
165,011179,020,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0
166,011186,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
167,011212,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
168,011214,010,-1.0,-1.0,-1.0,,,,,,,
169,011218,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
170,011219,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
171,011219,020,1.0,1.0,1.0,,,,,,,
172,011230,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
173,011241,010,1.0,1.0,1.0,1.0,,1.0,,,,
174,011241,040,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,
175,011248,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
176,011253,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
177,011256,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,011256,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
