,HHID,PN,JJ005M1,KJ005M1,HJ005M1,G3365M1,F3115M1,E2611M1
90,010776,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
91,010781,040,-1.0,,-1.0,-1.0,-1.0,
92,010818,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
93,010818,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
94,010822,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
95,010822,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
96,010893,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
97,010896,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
98,010902,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99,010917,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100,010923,020,-1.0,,-1.0,-1.0,-1.0,-1.0
101,010923,021,-1.0,,-1.0,-1.0,,
102,010929,040,-1.0,,-1.0,-1.0,-1.0,
103,010941,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
104,010962,010,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
105,010989,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
106,010989,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
107,010994,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
108,011010,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
109,011067,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
110,011067,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
111,011071,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
112,011071,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
113,011074,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
114,011074,030,-1.0,,-1.0,,,-1.0
115,011141,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
116,011141,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
117,011179,010,-1.0,-1.0,-1.0,,-1.0,
118,011179,020,-1.0,-1.0,-1.0,,,
119,011186,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
120,011219,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
121,011230,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
122,011241,040,-1.0,,-1.0,-1.0,,-1.0
123,011248,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
124,011253,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
125,011256,010,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
126,011256,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
127,011277,010,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
128,011323,010,-1.0,-1.0,-1.0,-1.0,,-1.0
129,011332,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
130,011332,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
131,011333,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
132,011333,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
133,011341,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
134,011345,010,-1.0,-1.0,,,,
135,011345,020,-1.0,-1.0,,,,
136,011347,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
137,011347,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
138,011368,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
139,011368,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
140,011377,010,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
141,011377,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
142,011378,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
143,011378,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
144,011379,010,-1.0,,-1.0,-1.0,-1.0,-1.0
145,011379,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146,011387,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147,011423,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148,011466,040,-1.0,-1.0,-1.0,,-1.0,-1.0
149,011467,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
150,011477,010,-1.0,-1.0,-1.0,,-1.0,-1.0
151,011477,011,-1.0,-1.0,-1.0,,-1.0,
152,011479,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
153,011479,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
154,011505,010,-1.0,,-1.0,-1.0,-1.0,-1.0
155,011506,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
156,011554,020,-1.0,,-1.0,-1.0,,
157,011554,030,-1.0,,-1.0,-1.0,,
158,011563,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
159,011575,010,-1.0,-1.0,,,-1.0,-1.0
160,011575,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
161,011582,010,-1.0,,-1.0,-1.0,-1.0,-1.0
162,011582,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
163,011590,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
164,011608,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
165,011608,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
166,011611,010,-1.0,-1.0,1.0,-1.0,,-1.0
167,011620,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
168,011620,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
169,011626,010,-1.0,-1.0,,,,
170,011626,011,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
171,011656,010,-1.0,-1.0,,,-1.0,-1.0
172,011667,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
173,011667,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
174,011671,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
175,011671,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
176,011678,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
177,011678,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
178,011678,041,-1.0,-1.0,,,,
179,011690,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
180,011694,010,-1.0,-1.0,-1.0,-1.0,-1.0,
181,011694,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
182,011716,010,-1.0,-1.0,-1.0,-1.0,-1.0,
183,011765,010,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
184,011787,010,-1.0,-1.0,,-1.0,-1.0,1.0
185,011793,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
186,011798,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
187,011802,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
188,011802,020,-1.0,,-1.0,-1.0,-1.0,-1.0
189,011825,010,-1.0,-1.0,-1.0,,-1.0,
190,011825,040,-1.0,-1.0,-1.0,,-1.0,-1.0
191,011841,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
192,011854,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
193,011854,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
194,011856,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
195,011859,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
196,011862,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
197,011862,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
198,011876,010,-1.0,-1.0,-1.0,,-1.0,-1.0
199,011876,040,-1.0,,-1.0,,-1.0,-1.0
200,011878,040,-1.0,,-1.0,-1.0,-1.0,-1.0
201,011881,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
202,011881,011,-1.0,-1.0,-1.0,,,
203,011902,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
204,011902,031,-1.0,-1.0,,,,
205,011907,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
206,011907,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
207,011911,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
208,011911,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
209,011932,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
210,011932,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
211,011933,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
212,011933,040,-1.0,,-1.0,-1.0,-1.0,-1.0
213,011936,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
214,011936,011,-1.0,-1.0,,,,
215,011937,010,-1.0,-1.0,-1.0,,,-1.0
216,011948,020,-1.0,-1.0,-1.0,,,
217,011983,010,-1.0,,-1.0,-1.0,-1.0,-1.0
218,011983,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
219,011993,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
220,011993,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
221,011999,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
222,011999,020,-1.0,-1.0,-1.0,-1.0,,-1.0
223,012005,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
224,012005,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
225,012009,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
226,012009,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
227,012010,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
228,012010,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
229,012033,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
230,012033,011,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
231,012094,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
232,012104,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
233,012104,020,-1.0,-1.0,-1.0,-1.0,,
234,012106,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
235,012108,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
236,012112,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
237,012118,030,-1.0,-1.0,-1.0,,,-1.0
238,012124,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
239,012124,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
240,012135,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
241,012135,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
242,012145,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
243,012145,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
244,012161,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
245,012161,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
246,012162,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
247,012166,010,-1.0,-1.0,-1.0,,-1.0,-1.0
248,012166,040,-1.0,-1.0,,,,-1.0
249,012172,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
250,012172,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
251,012174,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
252,012178,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253,012179,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
254,012183,010,-1.0,-1.0,-1.0,,-1.0,1.0
255,012195,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
256,012196,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
257,012196,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
258,012218,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
259,012218,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
260,012223,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
261,012232,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
262,012232,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
263,012235,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
264,012235,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
265,012242,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
266,012242,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
267,012243,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
268,012243,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
269,012273,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
270,012273,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
271,012274,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
272,012274,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
273,012276,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
274,012276,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
275,012280,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
276,012280,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
277,012285,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
278,012292,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
279,012292,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
280,012310,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
281,012310,011,-1.0,-1.0,-1.0,-1.0,,
282,012315,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
283,012315,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
284,012318,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
285,012319,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
286,012344,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
287,012344,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
288,012345,020,-1.0,,-1.0,-1.0,-1.0,-1.0
289,012393,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
290,012393,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
291,012401,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
292,012417,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
293,012418,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
294,012418,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
295,012443,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
296,012443,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
297,012445,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
298,012445,040,-1.0,,-1.0,-1.0,-1.0,-1.0
299,012455,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
300,012458,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
301,012474,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
302,012479,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
303,012481,010,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
304,012481,011,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
305,012484,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
306,012484,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
307,012494,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
308,012494,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
309,012496,020,-1.0,,,,,
310,012507,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
311,012510,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
312,012510,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
313,012512,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
314,012512,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
315,012513,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
316,012513,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
317,012514,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
318,012514,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
319,012516,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
320,012516,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
321,012520,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
322,012529,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
323,012529,030,-1.0,,-1.0,-1.0,-1.0,-1.0
324,012543,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
325,012549,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
326,012549,011,-1.0,-1.0,-1.0,,,
327,012549,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
328,012553,010,-1.0,,-1.0,-1.0,-1.0,-1.0
329,012562,010,-1.0,-1.0,-1.0,,,-1.0
330,012562,011,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
331,012571,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
332,012573,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
333,012573,011,-1.0,-1.0,,,,
334,012574,010,-1.0,,-1.0,-1.0,-1.0,-1.0
335,012574,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
336,012586,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
337,012586,020,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
338,012588,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
339,012588,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
340,012596,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
341,012596,040,-1.0,-1.0,-1.0,,,
342,012605,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
343,012605,040,-1.0,-1.0,1.0,,1.0,-1.0
344,012605,041,-1.0,-1.0,-1.0,,,
345,012611,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
346,012611,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
347,012629,010,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
348,012629,011,-1.0,-1.0,-1.0,-1.0,-1.0,
349,012629,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
350,012648,010,-1.0,,-1.0,-1.0,-1.0,-1.0
351,012648,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
352,012653,010,-1.0,-1.0,-1.0,,,
353,012653,040,-1.0,-1.0,-1.0,,,
354,012666,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
355,012667,010,-1.0,-1.0,,-1.0,-1.0,-1.0
356,012671,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
357,012682,010,-1.0,-1.0,,,-1.0,-1.0
358,012690,010,-1.0,,-1.0,-1.0,-1.0,-1.0
359,012695,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
360,012695,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
361,012709,020,-1.0,-1.0,-1.0,-1.0,-1.0,
362,012715,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
363,012715,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
364,012738,010,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
365,012738,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
366,012743,010,-1.0,,-1.0,-1.0,-1.0,-1.0
367,012744,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
368,012744,020,-1.0,,-1.0,-1.0,-1.0,-1.0
369,012745,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
370,012745,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
371,012756,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
372,012756,011,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
373,012761,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
374,012762,010,-1.0,-1.0,-1.0,-1.0,-1.0,
375,012762,020,-1.0,-1.0,-1.0,-1.0,-1.0,
376,012765,010,-1.0,-1.0,-1.0,,-1.0,-1.0
377,012765,020,-1.0,,-1.0,,,-1.0
378,012786,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
379,012792,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
380,012799,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
381,012799,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
382,012804,010,-1.0,,-1.0,,,-1.0
383,012821,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
384,012852,020,-1.0,,-1.0,-1.0,-1.0,-1.0
385,012852,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
386,012854,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
387,012864,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
388,012887,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
389,012909,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
390,012920,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
391,012922,010,-1.0,,-1.0,-1.0,,
392,012948,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
393,012964,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
394,012964,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
395,012967,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
396,012974,010,-1.0,,-1.0,-1.0,-1.0,
397,012974,020,-1.0,,-1.0,-1.0,-1.0,
