,model,train_subset_size,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
0,lgb,2621,0.6796244230867262,0.7815650475843164,0.99450884685784,0.5501242750621376,0.6408367035582274,0.31438382296833267,0.9021335019622764,0.19288616305076367,0.9021335019622764,0.2098527898108954,0.17245184532579103,0.1197124983178803
1,lgb,2665,0.6790386870100893,0.7832315770073838,0.9927884615384617,0.5495049504950495,0.6473428133265676,0.31407129455909943,0.897196680431022,0.19636026351623637,0.897196680431022,0.21627522148431055,0.17170955222079048,0.12046818601518236
2,lgb,2708,0.6858258731633865,0.7791691664608014,0.9940758293838864,0.5612903225806453,0.6369097616615859,0.31314623338257014,0.8968703967636,0.18974425159737407,0.8968703967636,0.21258062086912777,0.17312316132011882,0.1176073779466104
3,lgb,2752,0.6703168562588964,0.780396516365319,0.991860465116279,0.5356550580431177,0.6351359687150666,0.31359011627906974,0.8937767829035974,0.18863912871252841,0.8937767829035974,0.21553112210816994,0.17335928721968677,0.12114855621484011
4,lgb,2796,0.6836005662278793,0.7803857329396403,0.9896432681242807,0.5556485355648535,0.6428597552212616,0.3136623748211731,0.8892130457706576,0.20045173637423663,0.8892130457706576,0.23091190261774286,0.17083534834500325,0.12474812486809632
5,lgb,2839,0.6812811493955401,0.7861842750204885,0.9910213243546576,0.5524126455906823,0.6425858364195152,0.31454737583656217,0.8835894909499463,0.20313560948705311,0.8835894909499463,0.2382972442780985,0.17026189903743724,0.12910390295007182
6,lgb,2883,0.6765888887581807,0.7816552362354472,0.9854586129753915,0.545,0.6441758596610846,0.3139091224419008,0.8793127489166751,0.20064129110635243,0.8793127489166751,0.23972585328727314,0.17079484716431828,0.1301795920871898
7,lgb,2927,0.6895946804380816,0.7855853047396095,0.9777530589543938,0.5655058043117744,0.6443984374230507,0.31363170481721897,0.8747113459865443,0.20466660022145255,0.8747113459865443,0.24784834739442352,0.16993478015378408,0.1347343898193915
8,lgb,2970,0.6793700322718522,0.7827188741319343,0.9875338753387534,0.5499587118084228,0.6445096139160864,0.31414141414141417,0.8716807752100317,0.20101871148141714,0.8716807752100317,0.24960568483124101,0.17071420570190762,0.1310857621651871
9,lgb,3014,0.6816124946573028,0.785792150450355,0.9817596566523605,0.5528726061615321,0.6507721001641231,0.31453218314532183,0.8668121524558939,0.21097517332730287,0.8668121524558939,0.26433128352936786,0.16858685991791159,0.13771091290868484
10,lgb,3058,0.684186302304516,0.7867548162700326,0.9836756187467088,0.5563025210084034,0.6477533469107298,0.3142576847612819,0.8641199914611395,0.2130547433479476,0.8641199914611395,0.2710944292776576,0.16814252893121967,0.13669370815731396
11,lgb,3101,0.6863282827688701,0.7883576254504531,0.9828393135725428,0.5596638655462185,0.6463298979223866,0.3131247984521122,0.8614303429086969,0.2138205620709941,0.8614303429086969,0.27561869178159326,0.1679789003996192,0.13724195699382136
12,lgb,3145,0.6742395724273688,0.7867459934672048,0.9793601651186791,0.5398981324278439,0.6393034240234557,0.3128775834658188,0.8577705499499516,0.20722507168549087,0.8577705499499516,0.27467736614193894,0.16938812476889498,0.13533626873085366
13,lgb,3189,0.6808194227142079,0.7874469161363182,0.9848178137651821,0.5506756756756757,0.6456904461621159,0.31295076826591406,0.8558170866935974,0.21478080900019558,0.8558170866935974,0.28722874006748333,0.16777372939730414,0.13819511786120134
14,lgb,3233,0.6848489928280417,0.7876763090098463,0.9798183652875884,0.5572390572390572,0.6423659580476638,0.3114754098360656,0.8492581222581654,0.2138515857004285,0.8492581222581654,0.29009784573705566,0.1679722717409347,0.13771466657141432
15,lgb,3276,0.6827070123636876,0.7875596519502316,0.9784892446223111,0.553872053872054,0.6420447494817311,0.31135531135531136,0.852489496737777,0.21181363657679075,0.852489496737777,0.29374369885788987,0.16840770980550787,0.1402649817912735
16,lgb,3320,0.6784701063833959,0.784575583971516,0.9767901234567902,0.5456110154905335,0.6475622808620417,0.3108433734939759,0.8450414939868555,0.2122075426211325,0.8450414939868555,0.2992671203040891,0.1683235459352805,0.13716513506654884
17,lgb,3364,0.682399194576133,0.7852549397892722,0.9759921607055364,0.5527210884353742,0.6416845722075203,0.3097502972651605,0.8409275022386686,0.20610853637886606,0.8409275022386686,0.29826004317311294,0.1696266891016868,0.13736639459283143
